[00:00.570 --> 00:02.570]  And we are live.
[01:53:18.010 --> 01:53:20.010]  Anybody have a scale in here?
[01:53:20.010 --> 01:53:24.010]  Now, it's more the viewers are skeptical that there's not a scale in that room full of...
[01:53:24.010 --> 01:53:26.010]  It's all right.
[01:53:26.010 --> 01:53:31.010]  The way this was set up, everything is provided.
[01:53:39.870 --> 01:53:41.870]  We got a question for you, Danny.
[01:53:41.870 --> 01:53:43.870]  Yeah, what's up?
[01:53:43.870 --> 01:53:48.870]  So, where are you from out of state?
[01:53:48.870 --> 01:53:52.870]  Most everybody here, it seems like it's from Oklahoma, Louisiana.
[01:53:52.870 --> 01:53:54.870]  Two weeks ago, this legalized flour.
[01:53:54.870 --> 01:53:59.870]  So, this isn't something that's readily available in dispensaries.
[01:53:59.870 --> 01:54:04.870]  And the one dispensary that we have in town doesn't offer this.
[01:54:04.870 --> 01:54:11.870]  So, where you have people that are in the community that are willing to try this type of medication,
[01:54:11.870 --> 01:54:18.870]  how would you recommend it where we have those super humid days where they want to buy off the Gulf Coast?
[01:54:18.870 --> 01:54:21.870]  Did you guys do half flour there?
[01:54:21.870 --> 01:54:23.870]  It was just legalized two weeks ago.
[01:54:23.870 --> 01:54:24.870]  Oh, okay.
[01:54:24.870 --> 01:54:26.870]  August 1st, it will be in a dispensary.
[01:54:26.870 --> 01:54:28.870]  August 1st, it will be in our dispensary.
[01:54:28.870 --> 01:54:30.870]  Oh, okay, nice. Congratulations.
[01:54:30.870 --> 01:54:31.870]  Thank you.
[01:54:31.870 --> 01:54:47.780]  So, I'm going to be honest with you.
[01:54:47.780 --> 01:54:51.780]  When I started dressing, there's a place here called Harbor Break.
[01:54:51.780 --> 01:54:53.780]  I actually had 10-ton brass.
[01:54:53.780 --> 01:54:54.780]  I had heat plates.
[01:54:54.780 --> 01:54:56.780]  You've got glasses, so you know what I'm talking about.
[01:54:56.780 --> 01:54:57.780]  I had those heat plates.
[01:54:57.780 --> 01:55:01.780]  I had my heat plates in a small convection oven.
[01:55:01.780 --> 01:55:04.780]  And I would let them get hot, and I had a thermometer.
[01:55:04.780 --> 01:55:09.780]  I would sit with them with a laser thermometer, and right until they got to their temperature, okay, cool, we got it for brass.
[01:55:09.780 --> 01:55:14.780]  And we only got about 45 seconds, which could have probably been too cold.
[01:55:14.780 --> 01:55:17.780]  But, I mean, that's what I had to start with.
[01:55:17.780 --> 01:55:24.780]  And that's actually what it was that really, really got me into learning, okay, okay, if I can do this much,
[01:55:24.780 --> 01:55:30.780]  and I can get back the yield off of this, and I'm throwing it in the oven and messing it out this way on a 10-ton brass that came from Harbor Break,
[01:55:30.780 --> 01:55:34.780]  okay, cool, let's upgrade and see how far we can go on this.
[01:55:34.780 --> 01:55:36.780]  So that's what it is that I did.
[01:55:36.780 --> 01:55:41.780]  But I have seen people use things like hair straighteners.
[01:55:41.780 --> 01:55:47.780]  I've never used a hair straightener, so I couldn't give me any advice on that.
[01:55:47.780 --> 01:55:48.780]  Iron, yeah, I've seen people use iron.
[01:55:48.780 --> 01:55:52.780]  The biggest deal is getting that pressure.
[01:55:52.780 --> 01:55:57.780]  Being able to get that heat, that's totally fine, but being able to get that pressure is where the hard part is.
[01:55:57.780 --> 01:56:02.780]  So using that 10-ton press, having the heated plates, I was able to somewhat get it.
[01:56:02.780 --> 01:56:07.780]  So pretty much the same thing with this is on the Rotem plates, it's a heat-heated press here.
[01:56:07.780 --> 01:56:11.780]  And this controller here actually keeps it there.
[01:56:11.780 --> 01:56:17.780]  And so that way I don't have fluctuations in one, the top one being harder than the other one, something like that,
[01:56:17.780 --> 01:56:20.780]  which will definitely change the yield, change the ways it's coming off the press.
[01:56:21.780 --> 01:56:25.780]  So that was one of the main things about this is keeping that temperature there.
[01:56:25.780 --> 01:56:29.780]  That's what it needs to be on there without any fluctuations.
[01:56:29.780 --> 01:56:40.780]  But to answer your question, I mean, I honestly couldn't give any more suggestions other than, I mean, how we started this.
[01:56:40.780 --> 01:56:48.780]  With a hair straightener or maybe iron or if you wanted to get somebody to engineer you something down there.
[01:56:48.780 --> 01:56:53.780]  Or if you got the money, just go ahead and get you a press.
[01:56:53.780 --> 01:56:58.780]  Because the deal is, I mean, in order for you to get the other press, you're going to have to get a press and you're going to have to do it.
[01:56:58.780 --> 01:57:03.780]  I mean, I can give you all the tips that you want to give and then you can pay me to teach you all the tips that you want me to teach you.
[01:57:03.780 --> 01:57:07.780]  But if you don't got a thing to do yourself, it's not going to be any good.
[01:57:07.780 --> 01:57:09.780]  You can read every book you want to read.
[01:57:09.780 --> 01:57:12.780]  If you don't go and do it yourself, it's not going to help you.
[01:57:12.780 --> 01:57:15.780]  So it's just kind of depending on how far you want to go.
[01:57:15.780 --> 01:57:28.780]  There's not really any budget-wise ways to be able to do rosin, especially on this consistency, to be able to get it like that.
[01:57:28.780 --> 01:57:30.780]  That I've found.
[01:57:30.780 --> 01:57:34.780]  You are able to press out using that program and stuff like that.
[01:57:34.780 --> 01:57:36.780]  You'll be able to get essentials.
[01:57:36.780 --> 01:57:40.780]  And that is all good and great, but you won't get the yields and stuff like that.
[01:57:41.780 --> 01:57:49.780]  In a sense, you don't necessarily waste it, but you don't get the full benefit that you would if you actually have a decent press.
[01:57:49.780 --> 01:57:53.780]  And it doesn't mean you have to go out and spend $1,000 on a press, you know what I mean?
[01:57:53.780 --> 01:58:02.780]  Something small will definitely make it more efficient and better for you, especially if you're pressing flour that's new to that area down there.
[01:58:02.780 --> 01:58:07.780]  And as you see, most of the people here, I believe, are organic.
[01:58:07.780 --> 01:58:17.780]  And if you're down there and your flour is new, I would totally push for a grower to be organic and try to keep it that way.
[01:58:17.780 --> 01:58:21.780]  Because that is extremely important in my opinion.
[01:58:21.780 --> 01:58:30.780]  So I definitely think that with that being a mistake like that, you guys can start learning from other people's mistakes and just get down to doing it.
[01:58:30.780 --> 01:58:33.780]  And do it the right way.
[01:58:33.780 --> 01:58:36.780]  That could be awesome for you guys.
[01:58:41.530 --> 01:58:43.530]  Yeah, we got a question here for you, Dan.
[01:58:43.530 --> 01:58:44.530]  Yeah, go ahead.
[01:58:44.530 --> 01:58:49.530]  One thing I was kind of curious about when you talk about using certain pressures and temperatures for getting certain amounts of yield.
[01:58:49.530 --> 01:58:55.530]  Have you ever actually tried doing that inside of a vacuum chamber to see if maybe that might increase yields?
[01:58:55.530 --> 01:58:59.530]  No, I've never tried to press this out of a vacuum chamber.
[01:59:00.530 --> 01:59:05.530]  I'm running a lot of data through my head.
[01:59:05.530 --> 01:59:11.530]  I mean, possibly that would increase the yields.
[01:59:11.530 --> 01:59:19.530]  But it's not necessarily the pressure of just getting it off the plate.
[01:59:19.530 --> 01:59:26.530]  Because I know there's another brand, they have one that will actually kind of drop off the plate like that.
[01:59:27.530 --> 01:59:32.530]  So it's not necessarily being in a vacuum that's going to help increase yields or whatever.
[01:59:32.530 --> 01:59:35.530]  It's more that's what you're starting with.
[01:59:35.530 --> 01:59:37.530]  What you're starting with is heating the brain.
[01:59:37.530 --> 01:59:38.530]  Yeah, yeah.
[01:59:38.530 --> 01:59:41.530]  So I mean, I totally understand what you mean about that.
[01:59:41.530 --> 01:59:44.530]  But yeah, in a vacuum, you probably wouldn't do too much.
[01:59:45.530 --> 01:59:54.530]  There's a couple of ideas that I've been throwing around about better separation techniques, ionization is one of them.
[01:59:55.530 --> 02:00:00.530]  Because we know that trichomes have a positive and negative charge.
[02:00:00.530 --> 02:00:04.530]  And so we're using things like that to be able to do a better separation.
[02:00:04.530 --> 02:00:10.530]  I'm actually experimenting with some things like that to see if we can get a better increase.
[02:00:10.530 --> 02:00:19.530]  Because one thing about this is the yields are low, considerably low compared to other methods of extraction.
[02:00:19.530 --> 02:00:32.530]  And so whenever you're trying to do this in this industry, in the new market with people who are uneducated, and it's not even their fault that they're uneducated, it's just that it's new.
[02:00:32.530 --> 02:00:36.530]  It makes doing this job extremely, extremely difficult.
[02:00:36.530 --> 02:00:47.530]  Because not only am I doing all the work that everybody else is doing, I'm actually taking less of a yield and I'm having to push a more expensive product out there.
[02:00:47.530 --> 02:00:53.530]  And so pushing that more expensive product out there, the only way for me to be able to win is by educating everybody.
[02:00:53.530 --> 02:01:02.530]  And educating everybody like that means doing events like this, answering questions like this, future cannabis, going to dispensaries, going to pop-ups, doing 30 days.
[02:01:02.530 --> 02:01:04.530]  I'm tired, y'all.
[02:01:05.530 --> 02:01:12.530]  I am tired. I got three hours of sleep last night and that's probably an hour more than normal.
[02:01:12.530 --> 02:01:14.530]  So hey, we're doing good. You know what I mean?
[02:01:14.530 --> 02:01:18.530]  So this industry has been, I see y'all raising your hands back there, you know what I mean?
[02:01:18.530 --> 02:01:21.530]  Yes, it's extremely hard out there right now.
[02:01:21.530 --> 02:01:25.530]  Especially in Oklahoma, I mean, it's so easy for anybody to get a license.
[02:01:25.530 --> 02:01:27.530]  So therefore, you have a lot of big, big competition.
[02:01:27.530 --> 02:01:34.530]  So if you're not bringing in the best of the best, you may just be a little blip and they're moving on.
[02:01:34.530 --> 02:01:45.530]  So that's one reason why I'm trying to educate people, trying to get people to understand the benefits of the terpenes, the benefits of being organic and staying away from chemicals.
[02:01:45.530 --> 02:01:53.530]  If it's possible, if you want to, if that's what you want to do, I at least want to give you the ability to know that there's another option.
[02:01:53.530 --> 02:02:07.530]  And so if I give you an option to know that, hey, there are growers out there who are growing organic, who are making salt on this concentrates, who are trying their best to give it pure medicine out there, it is possible for you to get that.
[02:02:07.530 --> 02:02:11.530]  So I take a lot of time, a lot of pride to be able to do it this way.
[02:02:11.530 --> 02:02:16.530]  And I can say, we ain't bothering, we ain't bothering at all.
[02:02:16.530 --> 02:02:19.530]  But I mean, we are getting the medicine out there.
[02:02:20.530 --> 02:02:30.530]  And this right here, being able to teach people, talk to people a lot, ask a question like this, like, you can keep your money as long as you are learning something and get out there and actually try.
[02:02:30.530 --> 02:02:33.530]  That's all I want you to be able to do is get out there and actually try.
[02:02:33.530 --> 02:02:45.530]  Look at yourself, see if you like it, see if it works for you, look for the terpenes that you like, find those different strains that you like to be able to help you and do it yourself for whatever it is that you may be able to learn to be going to.
[02:02:45.530 --> 02:02:51.530]  We got a question. This is more of a comment from hanging out. Shout out to Sticky Mom, shout out to Hide the Hippie.
[02:02:51.530 --> 02:02:55.530]  Those dudes laced me up with quality stuff for the road trip here.
