[00:00.250 --> 00:03.890]  All right, take two.
[59:33.170 --> 59:36.930]  So it's like the equivalent of Amazon reviews to, you know,
[59:37.210 --> 59:39.250]  you'll hear input from other people.
[59:39.250 --> 59:41.970]  And generally, if you got a lot of people saying really good things,
[59:42.410 --> 59:46.050]  you're you're you know, you're probably going to be in good hands, you know.
[59:46.410 --> 59:50.010]  And we do have a lot of a lot of people
[59:50.450 --> 59:53.610]  out there that are still still doing good, good quality work.
[59:54.170 --> 59:56.810]  Unfortunately, they don't get put in the limelight
[59:57.650 --> 01:00:01.210]  a whole lot because they don't they're not focusing on hype.
[01:00:01.810 --> 01:00:05.250]  So and a lot of the hype guys are the ones that are going to get your press.
[01:00:05.250 --> 01:00:07.730]  And, you know, everybody's going to be talking about it.
[01:00:08.010 --> 01:00:10.610]  So it's kind of unfortunate, but it's on you.
[01:00:10.610 --> 01:00:11.770]  Like you seek it out.
[01:00:11.770 --> 01:00:15.450]  Like, I mean, they're there, you know, like the good shits there.
[01:00:15.570 --> 01:00:18.570]  It's got a, you know, kind of we throw a little bit of the
[01:00:19.050 --> 01:00:22.010]  the the bullshit, the shit that's like right in your face, you know,
[01:00:22.210 --> 01:00:25.490]  like walking into a store, all these ads and discount shit
[01:00:25.490 --> 01:00:26.770]  right in your face, right off the bat.
[01:00:26.770 --> 01:00:29.050]  You know, you really got to get into the store before you,
[01:00:29.410 --> 01:00:34.050]  you know, start making your mind up, you know. So, yeah, that's I think
[01:00:35.330 --> 01:00:39.370]  I kind of attribute it like, you know, a horse breeder or a dog breeder.
[01:00:39.370 --> 01:00:42.170]  You know, you know, I used to breed dogs back in the day.
[01:00:42.170 --> 01:00:45.330]  And my thing is, if you're going to breed dogs,
[01:00:45.330 --> 01:00:49.650]  then you should know that that dog can do what it's supposed to do
[01:00:49.650 --> 01:00:50.850]  before you breed it.
[01:00:50.850 --> 01:00:53.690]  I think it's probably the same way with cannabis, like so many people,
[01:00:53.690 --> 01:00:57.330]  like you said, run it, slap a label on it, put it out there.
[01:00:57.330 --> 01:01:01.410]  Like, what about the testing part where the consumer can feel comfortable
[01:01:01.410 --> 01:01:02.770]  that that shit is legit?
[01:01:02.770 --> 01:01:05.210]  You know, and I think that's valuable.
[01:01:05.210 --> 01:01:11.970]  Yeah. And like I come from a world, too, is like, you know, I'm if
[01:01:12.690 --> 01:01:16.250]  I don't want to like put something out there and be all fucked up and wrong.
[01:01:17.090 --> 01:01:19.850]  And then before you know it, you might be at a show or something.
[01:01:20.050 --> 01:01:22.290]  I should you might be walking down the street.
[01:01:22.290 --> 01:01:26.010]  So I run up on you and I can stab your ass and beat the shit out of you.
[01:01:26.050 --> 01:01:26.810]  You know what I mean?
[01:01:26.810 --> 01:01:30.770]  Like back in the day, like people's freedom was on the line.
[01:01:30.770 --> 01:01:34.450]  So like if you were going to waste somebody's time like that, man, you might
[01:01:34.650 --> 01:01:38.130]  you might expect to ass whipping at the minimum, you know.
[01:01:38.530 --> 01:01:43.050]  So, you know, even though like I mean, maybe, you know, it still is
[01:01:43.050 --> 01:01:46.090]  in certain people's position, but at the end of the day, man,
[01:01:46.570 --> 01:01:48.170]  it's somebody's time, man.
[01:01:48.170 --> 01:01:51.810]  You know, even if like, you know, there's people that need it for medicine,
[01:01:51.810 --> 01:01:54.690]  you know, or it just it doesn't matter.
[01:01:55.050 --> 01:01:57.530]  You're dealing with somebody's time and energy.
[01:01:57.890 --> 01:02:01.130]  And if you're fucking somebody out of that, like times prices,
[01:02:01.130 --> 01:02:02.570]  they can't get that back.
[01:02:02.570 --> 01:02:05.170]  So you got to you got to do the right thing
[01:02:05.770 --> 01:02:08.170]  and make sure that, you know, their time is well spent
[01:02:08.170 --> 01:02:09.450]  and they're getting what they want.
[01:02:09.450 --> 01:02:11.770]  And at the end of the day, they're they're happy with that.
[01:02:12.570 --> 01:02:15.450]  Otherwise, man, I just wouldn't be able to.
[01:02:15.490 --> 01:02:17.170]  It wouldn't sit well with me.
[01:02:17.170 --> 01:02:18.970]  I just couldn't, you know.
[01:02:18.970 --> 01:02:21.250]  Yeah, you got to do it for the right reason, man.
[01:02:21.410 --> 01:02:22.530]  Your heart's got to be in it.
[01:02:22.530 --> 01:02:26.010]  And I think the problem with today's industry is that there's so many
[01:02:26.330 --> 01:02:29.290]  consumers that they can fuck off
[01:02:30.130 --> 01:02:33.770]  thousands of people getting a pack a pack. Mm hmm.
[01:02:38.640 --> 01:02:40.320]  Can you hear him, do?
[01:02:40.320 --> 01:02:41.240]  No, no.
[01:02:41.240 --> 01:02:45.480]  It sounds like, Marco, you're muted or the sound went out on you there.
[01:02:50.250 --> 01:02:53.010]  Try again. Unmute yourself there.
[01:02:53.010 --> 01:02:54.290]  Is there.
[01:02:56.130 --> 01:02:57.930]  Here's Marco.
[01:03:00.980 --> 01:03:03.300]  I will while he's fixing that.
[01:03:03.300 --> 01:03:05.140]  Edit. Yeah.
[01:03:05.140 --> 01:03:07.300]  Throw it. Yeah.
[01:03:07.300 --> 01:03:10.620]  Let's kind of let's talk about some of those genetics that you're known for.
[01:03:10.620 --> 01:03:12.980]  You know, OK, so
[01:03:12.980 --> 01:03:17.620]  a newer a newer farmer is kind of at least has the cautionary tale
[01:03:17.620 --> 01:03:20.980]  to say that you need to research your genetics, because myself included,
[01:03:21.180 --> 01:03:24.340]  that was the last thing I thought about trying to buy all the lights
[01:03:24.340 --> 01:03:25.460]  and the tents and the whole thing.
[01:03:25.460 --> 01:03:29.620]  And then finally to get the it was it was really hard to be able to achieve that.
[01:03:30.340 --> 01:03:34.020]  So I hope that the newer farmers see that we're going more towards,
[01:03:34.020 --> 01:03:36.900]  you know, kind of you want to work from the genetics on down.
[01:03:37.060 --> 01:03:38.500]  Everything, obviously, is important.
[01:03:38.500 --> 01:03:40.220]  Your environment is extremely important.
[01:03:40.220 --> 01:03:43.300]  But I just wanted to put that footnote that genetics need to be more important
[01:03:44.220 --> 01:03:45.820]  than you probably assume.
[01:03:45.820 --> 01:03:47.260]  And it's multiplied.
[01:03:47.260 --> 01:03:51.260]  I feel like, Duke, when you're fortunate enough to be in kind of like
[01:03:51.260 --> 01:03:55.060]  a commercial setting, when you're able to grow thousands of plants,
[01:03:55.580 --> 01:04:00.100]  those little tiny mistakes or shortcuts that some of the somewhat famous
[01:04:00.100 --> 01:04:04.700]  and famous breeders out there, when that's magnified,
[01:04:04.700 --> 01:04:08.180]  it is disheartening because people look at you like, you know,
[01:04:08.180 --> 01:04:10.060]  you don't have your shit together.
[01:04:10.060 --> 01:04:14.940]  And when a lot of that time is just falling for things
[01:04:14.940 --> 01:04:16.340]  that you probably shouldn't have fallen for.
[01:04:16.340 --> 01:04:20.700]  You know, I when I enjoyed playing poker shortly for for profit,
[01:04:21.900 --> 01:04:24.860]  I felt like that was one of those things is like when you call somebody
[01:04:24.860 --> 01:04:27.060]  and they weren't bluffing, you thought they were bluffing.
[01:04:27.820 --> 01:04:29.780]  You just felt that kick in the in the gut.
[01:04:29.780 --> 01:04:32.060]  And it felt brutal because it was
[01:04:33.300 --> 01:04:36.900]  it was for a decent amount of money, you know, and on the commercial level,
[01:04:36.900 --> 01:04:39.860]  I feel like you get that same kind of feeling and kick in the gut,
[01:04:39.860 --> 01:04:42.980]  kick when when it's worth that, especially when it's not yours
[01:04:42.980 --> 01:04:45.420]  and you're trying to represent and continue to build things.
[01:04:45.820 --> 01:04:48.020]  And a lot of that comes back on to genetics.
[01:04:48.620 --> 01:04:52.260]  So I wanted to kind of then go down the road with you on how you're doing
[01:04:52.260 --> 01:04:56.740]  the work, putting in the work so that people can realize from from, again,
[01:04:56.740 --> 01:04:57.620]  a breeders breeder.
[01:04:57.620 --> 01:05:01.140]  This is somebody that a lot of the people that you're probably
[01:05:01.140 --> 01:05:02.860]  currently growing look up to.
[01:05:02.860 --> 01:05:06.300]  And I want to put that caveat on there because we're lucky enough
[01:05:06.300 --> 01:05:07.420]  to have you on the show, man.
[01:05:07.420 --> 01:05:11.180]  And I feel like, you know, you're kind of let the social media shit on fire
[01:05:11.820 --> 01:05:12.580]  since you've been out.
[01:05:12.580 --> 01:05:16.780]  So just something that you're good at, man.
[01:05:16.820 --> 01:05:21.020]  So let's kind of talk deeper into the breeding of the genetics.
[01:05:21.020 --> 01:05:24.860]  And Marco, if you're back, if you wanted to add anything.
[01:05:29.840 --> 01:05:31.840]  I don't know if he can hear me, so let's let's run.
[01:05:31.840 --> 01:05:32.840]  Still working it out.
[01:05:32.840 --> 01:05:34.400]  Yeah, we're still working that out.
[01:05:34.400 --> 01:05:35.400]  Oh, you're cool, man.
[01:05:35.400 --> 01:05:37.360]  What up? Yeah, there you go.
[01:05:37.360 --> 01:05:38.520]  Hear me now, man.
[01:05:38.520 --> 01:05:40.080]  Oh, yeah. And there's one more.
[01:05:44.360 --> 01:05:47.720]  All right, Marco, so I was going to let him kind of run into why he's known
[01:05:47.720 --> 01:05:49.360]  as like a breeders breed or somebody.
[01:05:51.920 --> 01:05:54.040]  Right. Always a technical issues.
[01:05:54.960 --> 01:05:57.440]  So let's let Duke kind of run into that.
[01:05:57.440 --> 01:05:59.640]  And then hopefully, Marco, we can figure that out.
[01:06:00.440 --> 01:06:01.720]  Right on.
[01:06:02.600 --> 01:06:07.240]  So like where everything starts for me is like
[01:06:07.960 --> 01:06:10.400]  there's a there's an end goal in mind.
[01:06:10.400 --> 01:06:14.560]  So this goes for like sounds like they're working.
[01:06:15.000 --> 01:06:17.600]  That's not have a great show.
[01:06:21.560 --> 01:06:23.840]  So everything would start for me
[01:06:24.960 --> 01:06:26.480]  with an end goal in mind. Right.
[01:06:26.480 --> 01:06:31.160]  And this goes for like, you know, me, like anybody's watching.
[01:06:31.160 --> 01:06:34.640]  It's like, hey, I might be looking into doing my own breeding.
[01:06:34.640 --> 01:06:37.720]  And just because you're looking at doing your own breeding,
[01:06:37.880 --> 01:06:41.960]  it doesn't mean you're trying to, you know, be like, you know, slinging seeds
[01:06:41.960 --> 01:06:43.760]  or, you know, doing your sport living.
[01:06:43.760 --> 01:06:48.120]  There's nothing wrong with making your own things, you know,
[01:06:48.600 --> 01:06:52.320]  for your own life and because, you know, you might be different.
[01:06:52.320 --> 01:06:55.840]  Is this something out there that you haven't seen done that that you want done?
[01:06:55.840 --> 01:06:58.600]  I mean, like you should be, you know, do that. So.
[01:07:00.320 --> 01:07:03.280]  So keep this in mind, like while I'm talking about, you know,
[01:07:03.760 --> 01:07:08.080]  like, you know, the way I'm working through this is start with an end goal.
[01:07:09.160 --> 01:07:12.360]  The end goal could be something
[01:07:13.920 --> 01:07:16.520]  medicinally, right?
[01:07:16.520 --> 01:07:18.800]  Something I might treat, treat myself with
[01:07:20.560 --> 01:07:23.800]  anxiety, you know, pain,
[01:07:24.360 --> 01:07:27.760]  not being able to sleep, insomnia,
[01:07:27.760 --> 01:07:31.920]  maybe something to, you know, be like high octane during the day to work on.
