[00:00.000 --> 00:03.600]  C-Tuesdays and T-Thursdays.
[01:05:46.860 --> 01:05:51.860]  But, you know, that's not the way it had to be.
[01:05:52.820 --> 01:05:55.220]  And Prop 64, you know,
[01:05:55.220 --> 01:05:58.380]  which is a sideways step in the right direction,
[01:05:58.380 --> 01:06:01.580]  it was diagonal, it wasn't direct legalization.
[01:06:01.580 --> 01:06:04.060]  I think the first thing you gotta do is realize
[01:06:04.060 --> 01:06:06.460]  that we're not dealing with legalization.
[01:06:06.460 --> 01:06:11.460]  We're dealing with, you know, partial reformist act
[01:06:12.380 --> 01:06:15.620]  and we still need to have legalization.
[01:06:15.620 --> 01:06:17.620]  And that's what needs to happen
[01:06:17.620 --> 01:06:21.700]  in order to terraform a more hospitable legal environment.
[01:06:22.540 --> 01:06:24.860]  I'm hearing everybody talk about how difficult it is
[01:06:24.860 --> 01:06:27.860]  to succeed in this fucked up legal environment.
[01:06:27.860 --> 01:06:29.380]  And I completely agree.
[01:06:30.180 --> 01:06:32.900]  You know, I don't really wanna go back to the olden days.
[01:06:32.900 --> 01:06:35.260]  I know many people were making lots of money
[01:06:35.260 --> 01:06:36.540]  in the olden days.
[01:06:36.540 --> 01:06:39.700]  I for sure was as a freedom defense attorney
[01:06:39.700 --> 01:06:41.500]  because my clients would always come up
[01:06:41.500 --> 01:06:42.940]  with the money to pay me.
[01:06:42.940 --> 01:06:47.140]  And I had numerous clients tell me money is no object.
[01:06:47.140 --> 01:06:49.100]  You know, I'll pay anything.
[01:06:49.140 --> 01:06:52.020]  I've never had a civil client tell me money is no object.
[01:06:52.020 --> 01:06:54.300]  Money is the object when, you know,
[01:06:54.300 --> 01:06:56.020]  you're dealing with your cannabis business
[01:06:56.020 --> 01:06:57.740]  and you're trying to make money, obviously.
[01:06:57.740 --> 01:06:59.300]  You know, you're not gonna tell a lawyer,
[01:06:59.300 --> 01:07:01.820]  here's a blank check, spend what you will.
[01:07:01.820 --> 01:07:03.780]  But when you're like dealing with your freedom,
[01:07:03.780 --> 01:07:05.420]  I had numerous clients over the years
[01:07:05.420 --> 01:07:07.380]  who would give me a blank check
[01:07:07.380 --> 01:07:09.060]  and I wouldn't charge them a penny more.
[01:07:09.060 --> 01:07:10.820]  I'd just be like, my fee is my fee.
[01:07:10.820 --> 01:07:12.540]  I always give it 100%.
[01:07:12.540 --> 01:07:13.780]  Doesn't matter what you pay me.
[01:07:13.780 --> 01:07:17.140]  Cause you know, this is what I charge for this kind of case.
[01:07:17.140 --> 01:07:20.420]  You know, the whole point of that, I think,
[01:07:20.420 --> 01:07:23.660]  was really to, you know, I guess underscore
[01:07:23.660 --> 01:07:27.900]  how we still need to have full-blown legalization.
[01:07:27.900 --> 01:07:29.660]  And right now what we're dealing with
[01:07:29.660 --> 01:07:31.660]  is probably better than the olden days
[01:07:31.660 --> 01:07:34.340]  when you had to worry about search warrants at 7 a.m.
[01:07:34.340 --> 01:07:37.580]  and asshole cops brutalizing your family members
[01:07:37.580 --> 01:07:39.740]  at gunpoint with their assault weapons
[01:07:39.740 --> 01:07:41.580]  and, you know, doing those kinds of raids.
[01:07:41.580 --> 01:07:42.980]  People don't have to worry about that.
[01:07:42.980 --> 01:07:46.100]  Now they have to worry about a code enforcement notice
[01:07:46.660 --> 01:07:47.500]  of inspection.
[01:07:47.500 --> 01:07:48.460]  No, no, we still love that.
[01:07:48.460 --> 01:07:49.580]  We still love that.
[01:07:49.580 --> 01:07:51.220]  Oh, you're still living that in San Francisco?
[01:07:51.220 --> 01:07:53.620]  Yeah, we're still living that.
[01:07:53.620 --> 01:07:56.740]  Maybe I'm not getting the butt of a rifle in my face,
[01:07:56.740 --> 01:08:00.740]  but 10 to 12 cops show up in the middle of the day.
[01:08:00.740 --> 01:08:02.860]  I'm relaxing with my family on the couch
[01:08:02.860 --> 01:08:07.260]  and I got to go outside and they are holding AR-15s.
[01:08:07.260 --> 01:08:09.540]  And they are in bulletproof vests.
[01:08:09.540 --> 01:08:10.380]  Yeah.
[01:08:11.500 --> 01:08:15.140]  So it's a show of paramilitary force, which is terrifying.
[01:08:15.180 --> 01:08:16.420]  I didn't want to interrupt you.
[01:08:16.420 --> 01:08:17.260]  Yeah.
[01:08:19.100 --> 01:08:19.940]  You know what?
[01:08:19.940 --> 01:08:22.340]  I'm not scared of those guns.
[01:08:22.340 --> 01:08:24.380]  Go ahead, put one in my head.
[01:08:24.380 --> 01:08:25.540]  Like I'm not scared.
[01:08:25.540 --> 01:08:26.980]  You know what's scary?
[01:08:26.980 --> 01:08:30.020]  Is the impunity which they operate with
[01:08:30.020 --> 01:08:34.420]  and the total disregard for basic constitutional rights.
[01:08:34.420 --> 01:08:37.100]  Their modus operanda is what's scary.
[01:08:37.100 --> 01:08:42.100]  And the fact that they are authorized and paid.
[01:08:42.220 --> 01:08:44.060]  I fully agree with you.
[01:08:44.060 --> 01:08:45.380]  I recently worked on a case
[01:08:45.380 --> 01:08:48.300]  where the Rohnert Park Department of Public Safety
[01:08:48.300 --> 01:08:50.580]  was like doing highway robbery,
[01:08:50.580 --> 01:08:53.700]  pulling people over on Highway 101 near Cloverdale
[01:08:53.700 --> 01:08:56.380]  and just taking their weed, taking their money.
[01:08:56.380 --> 01:08:58.260]  You know, the case ended up in federal court
[01:08:58.260 --> 01:08:59.620]  and there was like a settlement
[01:08:59.620 --> 01:09:01.500]  and all the details are now confidential.
[01:09:01.500 --> 01:09:03.380]  So I can't talk about it in detail
[01:09:03.380 --> 01:09:06.980]  about all the incredibly disturbing stuff
[01:09:06.980 --> 01:09:10.940]  that came to light about how the police were doing it.
[01:09:10.940 --> 01:09:12.460]  But I'm sure that's rampant.
[01:09:12.500 --> 01:09:14.180]  And I've heard many stories over the years
[01:09:14.180 --> 01:09:16.260]  in Mendocino and Humboldt County
[01:09:16.260 --> 01:09:20.500]  and those responsible have not been held accountable yet.
[01:09:21.820 --> 01:09:24.220]  You know, I fully agree with you that, you know,
[01:09:24.220 --> 01:09:27.060]  this war on drugs and that whole mentality
[01:09:27.060 --> 01:09:28.540]  that's very punitive,
[01:09:28.540 --> 01:09:31.460]  they're not allowing what we used to have
[01:09:31.460 --> 01:09:35.500]  with Senate Bill 420, which was laissez-faire capitalism.
[01:09:35.500 --> 01:09:37.340]  No regulations, you know,
[01:09:37.340 --> 01:09:39.180]  may the person with the best product win.
[01:09:39.180 --> 01:09:41.540]  And usually, you know, that was pretty nice.
[01:09:41.580 --> 01:09:43.180]  The one thing that is different now
[01:09:43.180 --> 01:09:45.340]  is all the testing regulations,
[01:09:45.340 --> 01:09:48.180]  which although burdensome and arbitrary,
[01:09:48.180 --> 01:09:51.340]  for example, there's no testing for glyphosate,
[01:09:51.340 --> 01:09:56.340]  you know, so Roundup can't trigger a negative test.
[01:09:57.620 --> 01:09:59.540]  You know, they test for other things,
[01:09:59.540 --> 01:10:01.980]  you know, like EGLE 20 and things that,
[01:10:01.980 --> 01:10:03.420]  you know, maybe are harmful.
[01:10:03.420 --> 01:10:07.380]  So, you know, looking for like the silver lining
[01:10:07.380 --> 01:10:08.780]  in the cloud, what I would say is like,
[01:10:08.820 --> 01:10:12.580]  there's a lot fewer felony criminal prosecutions,
[01:10:12.580 --> 01:10:15.700]  even though you may see the same paramilitary,
[01:10:15.700 --> 01:10:18.500]  you know, armed response with a bunch of like
[01:10:18.500 --> 01:10:20.140]  jackbooted thugs, you know,
[01:10:20.140 --> 01:10:23.380]  showing up at family homes and threatening people.
[01:10:23.380 --> 01:10:26.740]  And, you know, that's why it's amazing
[01:10:26.740 --> 01:10:28.780]  because people are finally standing up.
[01:10:28.780 --> 01:10:32.260]  I was just at the Sonoma County Board of Supervisors meeting
[01:10:32.260 --> 01:10:34.860]  and they're talking about having independent oversight
[01:10:34.860 --> 01:10:36.180]  of the Sheriff's Department.
[01:10:36.180 --> 01:10:38.740]  And the Sheriff doesn't like it one bit
[01:10:38.740 --> 01:10:40.860]  that now there's gotta be somebody
[01:10:40.860 --> 01:10:43.420]  who has oversight power over the Sheriff
[01:10:43.420 --> 01:10:47.380]  and can demand that they turn over all investigation,
[01:10:47.380 --> 01:10:49.740]  all information whenever there's excessive force,
[01:10:49.740 --> 01:10:51.900]  whenever there's a civil rights violation
[01:10:51.900 --> 01:10:54.420]  that results in a case being filed.
[01:10:55.420 --> 01:10:57.460]  And so I think that people are, you know,
[01:10:57.460 --> 01:10:59.900]  this is an unprecedented time to fight back
[01:10:59.900 --> 01:11:01.220]  and to push back.
[01:11:01.220 --> 01:11:02.940]  And so I'm glad that everybody here
[01:11:02.940 --> 01:11:04.540]  is having the conversation.
[01:11:04.580 --> 01:11:08.220]  You know, like I think the first step in taking action
[01:11:08.220 --> 01:11:11.260]  is being outraged by the injustices.
[01:11:11.260 --> 01:11:14.220]  And so to hear about everything that's happening,
[01:11:14.220 --> 01:11:17.300]  you know, rightly so, it should activate us
[01:11:17.300 --> 01:11:18.860]  and should make us mad
[01:11:18.860 --> 01:11:21.540]  and should make all our listeners, you know,
[01:11:21.540 --> 01:11:23.700]  take action because, you know,
[01:11:23.700 --> 01:11:25.420]  we're living the drug war again.
[01:11:25.420 --> 01:11:26.860]  It's happening again.
[01:11:26.860 --> 01:11:28.340]  It feels just like it.
[01:11:28.340 --> 01:11:31.380]  And, you know, now they're really like, you know,
[01:11:32.380 --> 01:11:34.540]  I guess like if you're rich enough to buy
[01:11:34.540 --> 01:11:35.900]  a get out of jail free card,
[01:11:35.900 --> 01:11:38.420]  you get to engage in this activity.
[01:11:38.420 --> 01:11:39.620]  But if you're not,
[01:11:39.620 --> 01:11:42.740]  then you're subject to these draconian penalties.
[01:11:42.740 --> 01:11:46.460]  Something I had posted for my fellow panelists
[01:11:46.460 --> 01:11:49.820]  is this opinion from the US Supreme Court
[01:11:49.820 --> 01:11:52.020]  that would be relevant to anybody facing
[01:11:52.020 --> 01:11:54.140]  one of these code enforcement actions.
[01:11:54.140 --> 01:11:57.100]  And it's basically a case saying that the eighth amendment
[01:11:57.100 --> 01:12:00.340]  rights to not have excessive fines
[01:12:00.340 --> 01:12:01.860]  applies to the states.
[01:12:01.860 --> 01:12:03.300]  And before it was uncertain
[01:12:03.300 --> 01:12:05.740]  whether it only applied to the federal government
[01:12:05.740 --> 01:12:07.700]  or it applied to the states or, you know,
[01:12:07.700 --> 01:12:10.660]  the County of Santa Cruz or the County of Sonoma
[01:12:10.660 --> 01:12:11.540]  or whatever.
[01:12:11.540 --> 01:12:14.020]  And now it's pretty clear that it applies there,
[01:12:14.020 --> 01:12:15.660]  you know, eighth amendment right
[01:12:15.660 --> 01:12:18.860]  against excessive fines applies to the states.
[01:12:18.860 --> 01:12:20.540]  And it's something that should be brought up
[01:12:20.540 --> 01:12:22.100]  in every code enforcement hearing
[01:12:22.100 --> 01:12:25.300]  because these fines are excessive and ridiculous.
[01:12:25.300 --> 01:12:27.740]  $10,000 per day in Sonoma County,
[01:12:27.740 --> 01:12:29.580]  men do the same, humble the same.
[01:12:29.580 --> 01:12:31.180]  I think Santa Cruz is the same.
[01:12:31.180 --> 01:12:36.180]  And that case is up there, I think posted in the chat.
[01:12:36.580 --> 01:12:37.900]  Thank you.
[01:12:37.900 --> 01:12:41.940]  Yeah, and I threw that onto the YouTube chat too,
[01:12:41.940 --> 01:12:46.260]  but it seems like in any County or jurisdiction,
[01:12:46.260 --> 01:12:49.060]  it's kind of like the district attorney's office
[01:12:49.060 --> 01:12:53.060]  and the sheriff's department that are collaborating
[01:12:53.060 --> 01:12:57.540]  on just their interpretation of law.
[01:12:58.540 --> 01:13:01.820]  So that's why I find it interesting what you said about,
[01:13:01.820 --> 01:13:05.220]  like there may be oversight of the sheriff.
[01:13:05.220 --> 01:13:07.260]  What count was that in Sonoma?
[01:13:07.260 --> 01:13:08.340]  Yeah, in Sonoma County.
[01:13:08.340 --> 01:13:10.220]  Now there's like a big movement
[01:13:10.220 --> 01:13:12.060]  and the same in Alameda County.
[01:13:13.020 --> 01:13:16.140]  You know, I think the reason that the government officials
[01:13:16.140 --> 01:13:20.500]  prefer code enforcement to the criminal courts
[01:13:20.500 --> 01:13:22.140]  for their enforcement activities
[01:13:22.140 --> 01:13:26.300]  is because there's no panoply of constitutional protections
[01:13:26.580 --> 01:13:30.060]  and these code enforcement kangaroo proceedings.
[01:13:30.060 --> 01:13:32.260]  In the criminal courts, you have a right to counsel,
[01:13:32.260 --> 01:13:35.020]  a public defender, right to a speedy trial,
[01:13:35.020 --> 01:13:39.340]  right to the trial being decided by a jury of your peers,
