[00:28.410 --> 00:31.650]  How's it going, everybody?
[54:34.460 --> 54:37.460]  So they give you a SIM card and you have to pick up the phone when the government calls you.
[54:38.460 --> 54:39.460]  And they call you once a day.
[54:40.460 --> 54:41.460]  And you don't know when they call.
[54:42.460 --> 54:43.460]  And you must tell where you are, of course.
[54:44.460 --> 54:45.460]  But yeah, you can't go out of the house because that's the end of it, you know.
[54:46.460 --> 54:47.460]  But they got it under control.
[54:48.460 --> 54:49.460]  They definitely have the virus under control.
[54:50.460 --> 54:51.460]  You know, there's a lot more fear over there.
[54:52.140 --> 54:53.140]  And a lot less freedom in some ways.
[54:54.140 --> 54:55.140]  And, you know, it's a different way of life.
[54:56.140 --> 54:57.140]  No, it's the way you look at it, you know.
[54:58.140 --> 54:59.140]  Maybe that's true in China or in some parts of Hong Kong.
[55:00.140 --> 55:01.140]  If you are politically motivated.
[55:02.140 --> 55:03.140]  But that's not the case in Taiwan or in South Korea or in Japan.
[55:04.140 --> 55:05.140]  There you're really free, you know.
[55:06.140 --> 55:07.140]  Yeah.
[55:08.140 --> 55:09.140]  Also, if you look at Africa, what surprises me, there's not so much problems as there
[55:10.140 --> 55:11.140]  are in Europe.
[55:12.140 --> 55:13.140]  In fact, I've been to Africa.
[55:14.140 --> 55:15.140]  I've been to the Philippines.
[55:16.140 --> 55:17.140]  I've been to the Philippines.
[55:18.140 --> 55:19.140]  I've been to the Philippines.
[55:19.820 --> 55:20.820]  There's not so much problems as there are in Europe and in America.
[55:21.820 --> 55:22.820]  Hmm.
[55:23.820 --> 55:24.820]  Probably made due to overweight and the way we eat.
[55:25.820 --> 55:26.820]  Right.
[55:27.820 --> 55:28.820]  Probably.
[55:29.820 --> 55:30.820]  But we'll know that in the next two or three years when all these results will
[55:31.820 --> 55:32.820]  come out and they will explain us.
[55:33.820 --> 55:34.820]  Like Tanzania, for example, they're not even doing anything.
[55:35.820 --> 55:36.820]  No borders closed.
[55:37.820 --> 55:38.820]  Everything is open.
[55:39.820 --> 55:40.820]  Like, no, we don't have COVID here.
[55:41.820 --> 55:42.820]  I don't know what's going on in Tanzania.
[55:43.820 --> 55:44.820]  I'm not sure.
[55:45.820 --> 55:46.820]  I don't know.
[55:47.500 --> 55:48.500]  I don't know what's going on in Tanzania.
[55:49.500 --> 55:50.500]  But it's pretty funny.
[55:51.500 --> 55:52.500]  Yeah.
[55:53.500 --> 55:56.500]  We have a lot of people thinking it's a hoax here, too, you know, and it's definitely
[55:57.500 --> 55:58.500]  real, you know, but.
[55:59.500 --> 56:02.500]  No, but look in Australia, the Melbourne Cup now, another tennis team is going on.
[56:03.500 --> 56:04.500]  Yeah.
[56:05.500 --> 56:08.500]  So the Latvian audience coming 20,000 instead of 40,000 every day.
[56:09.500 --> 56:10.500]  So half the people.
[56:11.500 --> 56:12.500]  Yeah.
[56:13.500 --> 56:14.500]  Which is smart.
[56:15.500 --> 56:16.500]  And it was good for a week.
[56:17.500 --> 56:22.500]  The whole stadium was empty during the game because in the whole state of New South Wales,
[56:23.500 --> 56:26.500]  which is Melbourne and or Victoria, I don't know exactly Melbourne, New South Wales.
[56:27.500 --> 56:32.500]  There was three positive COVID patients in two million people or something.
[56:33.500 --> 56:34.500]  All state locked up.
[56:35.500 --> 56:36.500]  Wow.
[56:37.500 --> 56:38.500]  This is Australia.
[56:39.500 --> 56:40.500]  This is a Western country.
[56:41.500 --> 56:46.500]  They implement the same rule as the as the as the Asians do, you know, and it works.
[56:47.500 --> 56:48.500]  Mm hmm.
[56:49.500 --> 56:50.500]  Yeah.
[56:50.500 --> 56:51.500]  COVID is not going away anytime soon.
[56:52.500 --> 56:55.500]  It's going to have to be something that we learn to live with and learn to be healthier
[56:56.500 --> 56:57.500]  and, you know, practice, have healthier practices.
[56:58.500 --> 56:59.500]  And, you know, it's it's.
[57:00.500 --> 57:01.500]  It's a new flu.
[57:02.500 --> 57:03.500]  It's a new flu.
[57:03.500 --> 57:04.500]  It will never go away.
[57:05.500 --> 57:06.500]  Yeah.
[57:06.500 --> 57:07.500]  And we don't even know what's going to happen.
[57:08.500 --> 57:09.500]  It could evolve into the common cold.
[57:10.500 --> 57:11.500]  I mean, there's so many things we don't know about it.
[57:12.500 --> 57:13.500]  And I think people just want to live in fear, too.
[57:14.500 --> 57:15.500]  But, you know, there's a balance.
[57:16.180 --> 57:17.180]  But, yeah.
[57:18.180 --> 57:19.180]  So let's talk about Franco's legacy.
[57:20.180 --> 57:23.180]  And, you know, I saw you guys have created the Franco Loha Fund.
[57:24.180 --> 57:25.180]  What is Franco's legacy?
[57:26.180 --> 57:27.180]  You know, it's like he did so much for the community.
[57:28.180 --> 57:33.180]  He was by far the most passionate person I've ever met regarding cannabis.
[57:34.180 --> 57:36.180]  You know, he would be like we'd smoke weed together.
[57:37.180 --> 57:40.180]  When I first met you guys in 2012, I had concentrates in Europe.
[57:41.180 --> 57:44.180]  And I think I was one of the first people to bring the different varieties of
[57:44.860 --> 57:47.860]  concentrates all to one place where I had 16 different things to show people.
[57:48.860 --> 57:49.860]  Franco went crazy and he's like, fuck, I love this.
[57:50.860 --> 57:51.860]  I want to try this.
[57:52.860 --> 57:53.860]  I want to try this.
[57:54.860 --> 57:55.860]  But he loved that.
[57:56.860 --> 57:57.860]  I have the hashtag passion for the sacred plant.
[57:58.860 --> 57:59.860]  And that came from Franco, you know.
[58:00.860 --> 58:03.860]  And so what is Franco's legacy moving forward?
[58:04.860 --> 58:06.860]  Well, his movies that we created together.
[58:07.860 --> 58:08.860]  Yeah.
[58:09.860 --> 58:10.860]  That's, I think, the most important thing.
[58:11.860 --> 58:12.860]  I'm pretty proud that we pulled that off.
[58:13.540 --> 58:14.540]  I think we made nine or something.
[58:15.540 --> 58:16.540]  I'm not sure.
[58:17.540 --> 58:18.540]  And yeah, that's his biggest legacy.
[58:19.540 --> 58:20.540]  That says it all, you know.
[58:21.540 --> 58:26.540]  Big smile, always happy, going, taking much more risks than all the other teams
[58:27.540 --> 58:31.540]  and seed companies and people in the industry doing something totally out of the box,
[58:32.540 --> 58:35.540]  showing the world what's going on, really.
[58:36.540 --> 58:41.540]  You know, Columbia, after we made a movie in Columbia, we were big in newspapers.
[58:42.220 --> 58:45.220]  You know, especially the right newspapers were really harsh on us.
[58:46.220 --> 58:48.220]  But of course, the legalization came on thing.
[58:49.220 --> 58:52.220]  And then we did St. Vincent and Trinidad.
[58:53.220 --> 58:54.220]  And we left.
[58:55.220 --> 59:00.220]  And the day we left, the government called us and we were big on the news.
[59:01.220 --> 59:05.220]  And the president, you can read it, you can see the interview with the president.
[59:06.220 --> 59:11.220]  It was on the BBC, where he stated, hey, listen, if America and Canada
[59:12.220 --> 59:15.220]  and all these countries are legalizing, I'm not going to arrest people anymore
[59:16.220 --> 59:17.220]  with an ounce of weed on the beach.
[59:18.220 --> 59:21.220]  So basically he said, hey, if you're an American tourist, a Canadian or a European tourist,
[59:22.220 --> 59:26.220]  please come to St. Vincent with Bequia Mystique, which is one of the greatest countries in the world,
[59:27.220 --> 59:30.220]  and come line the beach and have a good time and smoke a joint, you know, no problem.
[59:31.220 --> 59:34.220]  So I think that is the biggest part, what we wanted to accomplish.
[59:35.220 --> 59:39.220]  Like, you know, regulate our industry, respect our industry.
[59:39.900 --> 59:41.900]  We are also people, we like to smoke a joint.
[59:42.900 --> 59:46.900]  It's not dangerous, you know, change of politics.
[59:51.900 --> 59:55.900]  Yeah, so have you guys stayed in contact with Dr. Green, with Marcus?
[59:56.900 --> 59:57.900]  Yeah, yeah, yeah.
[59:58.900 --> 01:00:01.900]  He's coming, normally he's coming every year to Barcelona.
[01:00:02.900 --> 01:00:04.900]  Yeah, we see him a lot, we see him every year.
[01:00:05.900 --> 01:00:07.900]  He comes to Amsterdam, he comes to Barcelona.
[01:00:08.580 --> 01:00:09.580]  We're on the phone sometimes.
[01:00:10.580 --> 01:00:13.580]  Yeah, he's working to passing legislation in Trinidad right now,
[01:00:14.580 --> 01:00:16.580]  him and Marlon Asher, who's my business partner.
[01:00:17.580 --> 01:00:21.580]  I was in Trinidad last year and, you know, got to smoke some weed, some good stuff.
[01:00:22.580 --> 01:00:26.580]  We keep missing each other, but we have a lot of mutual friends over in Trinidad.
[01:00:27.580 --> 01:00:30.580]  But yeah, Trinidad, St. Vincent, I believe those countries are so amazing.
[01:00:31.260 --> 01:00:37.260]  It's like those Caribbean countries are really very open to cannabis and legalization
[01:00:38.260 --> 01:00:40.260]  and benefiting their country.
[01:00:41.260 --> 01:00:45.260]  And you got guys like Marcus, who's like really pushing and trying to pave the way
[01:00:46.260 --> 01:00:47.260]  for cannabis in places like Trinidad.
[01:00:48.260 --> 01:00:51.260]  Yeah, yeah, let's see how that goes.
[01:00:52.260 --> 01:00:54.260]  Yeah, I just, they decriminalized it.
[01:00:55.260 --> 01:00:58.260]  Now they just need to pass it either for medical or for recreational.
[01:00:59.260 --> 01:01:00.260]  I think that'd be great.
[01:01:01.260 --> 01:01:04.260]  And then it's really implemented in the culture also.
[01:01:05.260 --> 01:01:07.260]  You can see those places, they have a traditional use of marijuana.
[01:01:08.260 --> 01:01:11.260]  It's like when we go in Congo, you know, most of the people, when they see me,
[01:01:12.260 --> 01:01:15.260]  they are super friendly with all the rastas, even if I'm white or whatever.
[01:01:16.260 --> 01:01:19.260]  It's just, they know I'm smoking and anywhere you go in the end,
[01:01:20.260 --> 01:01:23.260]  people realize that I smoke, you know, and I don't know, it just relax people, you know.
[01:01:24.260 --> 01:01:29.260]  So yeah, it doesn't, I think it's going to be also good in the Caribbean soon.
[01:01:29.940 --> 01:01:30.940]  I hope I can come to visit you there.
[01:01:31.940 --> 01:01:33.940]  Yeah, yeah. Caribbean is awesome, man.
[01:01:34.940 --> 01:01:36.940]  It's a, you know, it's funny though, but most of the stuff people smoke,
[01:01:37.940 --> 01:01:38.940]  there's really, really low THC.
[01:01:39.940 --> 01:01:44.940]  And they smoke all day, you know, but they're smoking really low THC, borderline CBD.
[01:01:45.940 --> 01:01:47.940]  You know, I smoked some stuff there where it's like, they were like,
[01:01:48.940 --> 01:01:50.940]  holy shit, you're smoking a big spliff all the way down.
[01:01:51.940 --> 01:01:52.940]  And it's like, it wasn't really getting me high.
[01:01:53.940 --> 01:01:55.940]  At the same time with the temperature and the humidity, I think it's better that way.
[01:01:56.620 --> 01:02:01.620]  You know, I don't know if I could be able to smoke like a really fat bubble hash joint on the beach,
[01:02:02.620 --> 01:02:05.620]  40 degrees, you know, and 80% humidity.
[01:02:06.620 --> 01:02:07.620]  Yeah.
[01:02:08.620 --> 01:02:09.620]  It's fine like this.
[01:02:10.620 --> 01:02:12.620]  Most of the weed in the Caribbean comes from St. Vincent.
[01:02:13.620 --> 01:02:14.620]  I don't know if you know, or if you're aware of that.
[01:02:15.620 --> 01:02:20.620]  But I would say probably 70, 80%, you know, not from Jamaica,
[01:02:21.620 --> 01:02:23.620]  but from St. Vincent, it goes with the speed boats, with the scarabs.
[01:02:24.300 --> 01:02:26.300]  You can see that in our movie, that's one of the original boats.
[01:02:27.300 --> 01:02:30.300]  And it goes to Barbados, Bahamas, all those countries.
[01:02:31.300 --> 01:02:35.300]  So yeah, that's, and there you can find some really good weed on the volcano.
[01:02:36.300 --> 01:02:39.300]  But here again, guys, they are poor farmers, you know,
[01:02:40.300 --> 01:02:41.300]  they don't have much money to buy proper seeds.
[01:02:42.300 --> 01:02:48.300]  And they need special seeds, you know, on that level.
[01:02:48.980 --> 01:02:52.980]  But I've climbed that volcano with Franco and with my team.
[01:02:53.980 --> 01:02:54.980]  Oh man, you have no idea.
[01:02:55.980 --> 01:02:59.980]  And you can see it in our movie, you look in that huge hole, you know, from that volcano.
[01:03:00.980 --> 01:03:04.980]  And then when you walk around that volcano, you see this beautiful soil where all the marijuana grows on.
