[00:00.000 --> 00:01.280]  good connectivity there, Nick.
[01:14:38.910 --> 01:14:40.390]  sprays, like hitting one in the
[01:14:40.390 --> 01:14:42.270]  morning and then doing one
[01:14:42.270 --> 01:14:43.590]  in the evening or something like
[01:14:43.590 --> 01:14:45.230]  that, like rotating through them
[01:14:45.230 --> 01:14:46.910]  instead of doing them together as a
[01:14:46.910 --> 01:14:47.910]  mix.
[01:14:48.030 --> 01:14:49.950]  I can see that I
[01:14:49.950 --> 01:14:51.630]  didn't ever really think of it like
[01:14:51.630 --> 01:14:52.630]  that,
[01:14:53.190 --> 01:14:55.390]  you know, but I can definitely
[01:14:55.390 --> 01:14:56.950]  do that. I could.
[01:14:56.950 --> 01:14:58.470]  Yeah, that's a very good point
[01:14:58.470 --> 01:14:59.470]  there.
[01:15:00.790 --> 01:15:02.270]  I don't know. That was just something
[01:15:02.270 --> 01:15:03.990]  you know, I buy a lot of boogie
[01:15:04.030 --> 01:15:05.030]  brew products.
[01:15:05.030 --> 01:15:06.790]  I'm not sponsoring them or
[01:15:06.790 --> 01:15:08.510]  anything, but I think I
[01:15:08.510 --> 01:15:10.590]  think John John
[01:15:10.590 --> 01:15:12.630]  Collier, the grow your own greens
[01:15:12.630 --> 01:15:14.030]  guy, he's really
[01:15:15.790 --> 01:15:17.670]  really specific to
[01:15:17.670 --> 01:15:19.870]  some of the things that he does
[01:15:19.870 --> 01:15:21.790]  and staying as clean as
[01:15:21.790 --> 01:15:22.790]  he can
[01:15:24.030 --> 01:15:25.470]  on the organic side.
[01:15:25.470 --> 01:15:27.350]  And so I just kind of that was
[01:15:27.350 --> 01:15:29.430]  one of their their things they
[01:15:29.430 --> 01:15:31.070]  mentioned on their website, you
[01:15:31.070 --> 01:15:32.070]  know, and
[01:15:32.990 --> 01:15:34.750]  when you buy some of their products
[01:15:34.750 --> 01:15:36.750]  and I really when I can't make
[01:15:36.750 --> 01:15:38.470]  the fish stuff, I'll buy his
[01:15:39.390 --> 01:15:41.390]  his premium pure protein
[01:15:41.390 --> 01:15:42.110]  stuff.
[01:15:42.110 --> 01:15:44.150]  And then he's got hydroslate
[01:15:44.150 --> 01:15:46.430]  that's more phosphorus based, but
[01:15:46.430 --> 01:15:48.430]  the pure protein is nitrogen based.
[01:15:48.430 --> 01:15:50.590]  And most of the time I'm in veg
[01:15:50.590 --> 01:15:52.630]  when I'm doing a compost
[01:15:52.630 --> 01:15:54.670]  tea microbial
[01:15:54.670 --> 01:15:56.430]  sometime, you know, boost.
[01:15:56.430 --> 01:15:58.310]  And that was just one
[01:15:58.310 --> 01:15:59.390]  thing they mentioned.
[01:15:59.390 --> 01:16:01.030]  And ever since I've been doing that
[01:16:01.030 --> 01:16:02.830]  for like the last year and a half,
[01:16:02.830 --> 01:16:04.990]  two years, it's
[01:16:04.990 --> 01:16:06.910]  been a game changer for me, but I've
[01:16:06.910 --> 01:16:09.750]  never tried them separately
[01:16:09.750 --> 01:16:10.510]  like that.
[01:16:10.510 --> 01:16:12.430]  I would definitely like to
[01:16:12.430 --> 01:16:14.470]  do a test off to the side,
[01:16:14.470 --> 01:16:16.110]  you know, like everything you guys
[01:16:16.110 --> 01:16:18.190]  saw in the garden, all
[01:16:18.190 --> 01:16:19.790]  that is tester stuff.
[01:16:19.790 --> 01:16:22.270]  Like I don't run that commercially.
[01:16:22.270 --> 01:16:23.670]  It's just something that stood out
[01:16:23.670 --> 01:16:25.150]  inside. I'm seeing if it works
[01:16:25.150 --> 01:16:26.590]  outside.
[01:16:26.590 --> 01:16:28.110]  I look around.
[01:16:28.110 --> 01:16:30.070]  I love that fuck around plants, baby.
[01:16:30.070 --> 01:16:31.510]  That's all I got is a bunch of fuck
[01:16:31.510 --> 01:16:32.390]  around plants.
[01:16:32.390 --> 01:16:34.190]  Like I got a big old
[01:16:34.190 --> 01:16:34.790]  bottle of neem.
[01:16:34.790 --> 01:16:36.830]  Like I got no objections
[01:16:36.830 --> 01:16:38.670]  to neem or using that or any
[01:16:38.670 --> 01:16:40.230]  of those things in any way, shape
[01:16:40.230 --> 01:16:42.030]  or form. I was just like I've always
[01:16:42.030 --> 01:16:43.950]  kind of there's some things that like
[01:16:43.950 --> 01:16:46.070]  have, you know, the doctor
[01:16:46.070 --> 01:16:47.990]  laying in him like put on your tinfoil
[01:16:47.990 --> 01:16:49.590]  hat and ask the question like, does
[01:16:49.590 --> 01:16:52.270]  that make like all the way
[01:16:52.270 --> 01:16:53.950]  sense all the time?
[01:16:53.950 --> 01:16:56.390]  And I've just kind of like wondered
[01:16:56.390 --> 01:16:57.390]  about some of these things.
[01:16:57.390 --> 01:16:59.550]  I'm afraid to use it inside my tent
[01:16:59.550 --> 01:17:01.670]  because I use predatory mites.
[01:17:01.670 --> 01:17:02.910]  Exactly.
[01:17:02.910 --> 01:17:04.030]  Yeah. Yeah.
[01:17:04.030 --> 01:17:05.310]  It's bad for bees.
[01:17:05.310 --> 01:17:07.030]  And, you know, I have bees around, but
[01:17:07.030 --> 01:17:09.750]  I always tried to keep them
[01:17:09.750 --> 01:17:11.750]  separate. You know, they're
[01:17:11.750 --> 01:17:13.590]  not really bees are
[01:17:13.590 --> 01:17:14.510]  really around.
[01:17:14.510 --> 01:17:16.470]  They're almost sunflowers more than
[01:17:16.470 --> 01:17:18.510]  there's a time and place for everything.
[01:17:18.510 --> 01:17:19.910]  Right. Right. Exactly.
[01:17:19.910 --> 01:17:21.950]  You know, but do you guys use
[01:17:21.950 --> 01:17:22.950]  Kronja?
[01:17:24.990 --> 01:17:26.950]  I just don't spray anything other than
[01:17:27.590 --> 01:17:28.590]  Kronja.
[01:17:28.590 --> 01:17:29.670]  I don't know.
[01:17:29.670 --> 01:17:31.710]  Because Kronja, man.
[01:17:31.710 --> 01:17:33.750]  So I've literally had I've
[01:17:33.750 --> 01:17:35.710]  sprayed Kronja and
[01:17:35.710 --> 01:17:37.750]  Neem have a synergistic
[01:17:37.750 --> 01:17:38.750]  formality.
[01:17:39.630 --> 01:17:41.030]  What is Kronja?
[01:17:41.030 --> 01:17:42.830]  Can you like is I don't know exactly
[01:17:42.830 --> 01:17:43.710]  what Kronja is.
[01:17:43.710 --> 01:17:45.630]  So, you know, Neem is like
[01:17:45.630 --> 01:17:49.350]  the bacterial fungicide
[01:17:49.350 --> 01:17:50.670]  spray. Like you said, it's a
[01:17:50.670 --> 01:17:54.030]  microbial redundant,
[01:17:54.030 --> 01:17:55.350]  I would say.
[01:17:55.390 --> 01:17:57.590]  And I think they both
[01:17:57.590 --> 01:17:59.030]  see different trees.
[01:18:00.150 --> 01:18:01.150]  Right.
[01:18:01.750 --> 01:18:02.990]  Kronja is
[01:18:04.430 --> 01:18:05.870]  to me, it's like the healing
[01:18:05.870 --> 01:18:06.830]  property.
[01:18:06.830 --> 01:18:08.430]  So, you know, you're putting out your
[01:18:08.430 --> 01:18:10.110]  microbial with the Neem
[01:18:10.110 --> 01:18:12.510]  the and trying to lower
[01:18:12.510 --> 01:18:13.670]  the microbial rate.
[01:18:13.670 --> 01:18:14.990]  But the Kronja is like
[01:18:15.990 --> 01:18:17.630]  it's a healer.
[01:18:17.630 --> 01:18:18.510]  Like, I don't know.
[01:18:18.510 --> 01:18:19.510]  It's like
[01:18:21.270 --> 01:18:22.630]  they work so well together.
[01:18:22.630 --> 01:18:23.630]  How do you spell it?
[01:18:24.110 --> 01:18:25.110]  K-A-R-A-N-J-A.
[01:18:27.750 --> 01:18:28.750]  I can't read.
[01:18:28.750 --> 01:18:30.710]  I've there's a whole
[01:18:30.710 --> 01:18:32.510]  the company that I get this from
[01:18:32.510 --> 01:18:34.630]  is called Enesma.
[01:18:34.630 --> 01:18:36.310]  I think is how you say it's a.
[01:18:36.310 --> 01:18:37.310]  Are they in Florida?
[01:18:39.070 --> 01:18:40.870]  No, I don't know.
[01:18:40.870 --> 01:18:41.870]  I don't.
[01:18:42.950 --> 01:18:44.430]  I think I heard.
[01:18:44.430 --> 01:18:45.430]  I think so.
[01:18:45.430 --> 01:18:46.430]  It's cool.
[01:18:46.430 --> 01:18:48.590]  Talking to somebody in Florida.
[01:18:48.590 --> 01:18:49.990]  They got a company.
[01:18:49.990 --> 01:18:51.390]  I think it's a company.
[01:18:51.390 --> 01:18:52.390]  I don't know.
[01:18:52.510 --> 01:18:53.270]  Company.
[01:18:53.270 --> 01:18:55.550]  I think that there's some Kronja
[01:18:55.550 --> 01:18:57.350]  rules or whatever the heck they are
[01:18:57.350 --> 01:18:58.350]  in Florida.
[01:18:59.470 --> 01:19:00.630]  Right.
[01:19:00.630 --> 01:19:01.510]  It may be.
[01:19:01.510 --> 01:19:03.150]  I can't remember.
[01:19:03.150 --> 01:19:04.150]  I have it somewhere.
[01:19:05.270 --> 01:19:06.270]  What do you know?
[01:19:07.550 --> 01:19:09.550]  But the Kronja
[01:19:09.550 --> 01:19:11.310]  and Neem together, like I've had,
[01:19:11.310 --> 01:19:13.910]  you know, like where you've had
[01:19:13.910 --> 01:19:15.670]  carosis of the leaf
[01:19:15.670 --> 01:19:17.270]  or cirrhosis of the leaf,
[01:19:17.270 --> 01:19:18.550]  like, you know, you don't have
[01:19:18.550 --> 01:19:20.950]  enough calcium or iron
[01:19:20.950 --> 01:19:22.990]  and you may have had a bug
[01:19:22.990 --> 01:19:25.270]  kind of chew on something or like
[01:19:25.270 --> 01:19:26.790]  even the end of the leaf
[01:19:26.790 --> 01:19:28.950]  starting to rot because of,
[01:19:28.950 --> 01:19:31.510]  you know, like calcium
[01:19:31.510 --> 01:19:33.310]  or nitrogen or, you know,
[01:19:33.310 --> 01:19:34.470]  a burn.
[01:19:34.470 --> 01:19:37.310]  And you can spray Kronja and Neem.
[01:19:37.310 --> 01:19:39.470]  And sometimes I've watched it
[01:19:39.470 --> 01:19:41.670]  heal a leaf like,
[01:19:41.670 --> 01:19:42.670]  you know,
[01:19:43.470 --> 01:19:45.350]  a leaf hopper chewed a hole
[01:19:45.350 --> 01:19:46.990]  in my leaf and there was a few holes
[01:19:46.990 --> 01:19:49.790]  and I sprayed it and it mutated
[01:19:49.830 --> 01:19:52.030]  itself like cellular
[01:19:52.030 --> 01:19:54.470]  back together, spraying Kronja
[01:19:54.470 --> 01:19:56.790]  and Neem. And I feel like
[01:19:56.790 --> 01:19:58.710]  one, you can't have one without
[01:19:58.710 --> 01:19:59.590]  the other.
[01:19:59.590 --> 01:20:01.350]  And that's a lot of people here
[01:20:01.350 --> 01:20:02.950]  of the product Neem,
[01:20:02.950 --> 01:20:04.230]  but they never hear about what
[01:20:04.230 --> 01:20:06.430]  Kronja is and build the soil.
[01:20:06.430 --> 01:20:08.230]  They never sell Kronja
[01:20:08.230 --> 01:20:08.430]  until today.
[01:20:08.430 --> 01:20:10.710]  They sell Kronja cakes
[01:20:10.710 --> 01:20:13.270]  and they say it's really,
[01:20:13.270 --> 01:20:15.670]  really beneficial to the soil.
[01:20:15.670 --> 01:20:17.990]  They when they sell their soil.
[01:20:17.990 --> 01:20:19.070]  So I got a basic,
[01:20:19.070 --> 01:20:20.630]  I got a basic Google search here
[01:20:20.630 --> 01:20:21.790]  if you guys want.
[01:20:21.790 --> 01:20:23.630]  There's a,
[01:20:23.630 --> 01:20:25.150]  I think going back to the guy
[01:20:25.150 --> 01:20:26.790]  that I was thinking about
[01:20:26.790 --> 01:20:29.150]  talking with in Florida and coastal,
[01:20:29.150 --> 01:20:30.390]  I don't know if this is what sparked
[01:20:30.390 --> 01:20:31.390]  you up, but
[01:20:32.590 --> 01:20:34.550]  I think that they would grow
[01:20:34.550 --> 01:20:36.390]  in these to try to help with
[01:20:36.390 --> 01:20:38.230]  whatever the problem is with the
[01:20:38.230 --> 01:20:39.830]  citrus fruits.
[01:20:39.830 --> 01:20:41.510]  I could be wrong, but that's kind
[01:20:41.510 --> 01:20:43.470]  of what I remember in that.
[01:20:44.670 --> 01:20:46.590]  It was a YouTube video and I
[01:20:46.590 --> 01:20:48.630]  can't remember what
[01:20:48.670 --> 01:20:50.110]  when I know what you're talking
[01:20:50.110 --> 01:20:51.190]  about. It was cool.
[01:20:51.190 --> 01:20:52.830]  And there was there was a bunch of
[01:20:54.230 --> 01:20:56.030]  a guy growing.
[01:20:56.030 --> 01:20:57.670]  I think it was Kronja.
[01:20:57.670 --> 01:20:58.910]  Yeah, it was Kronja.
[01:20:58.910 --> 01:21:00.910]  And they talk about they make a soil
[01:21:00.910 --> 01:21:02.710]  that they put the cakes in.
[01:21:02.710 --> 01:21:03.790]  They sell it.
[01:21:03.790 --> 01:21:05.750]  Was it the citrus fruit originally
[01:21:05.750 --> 01:21:06.750]  why they did it?
[01:21:07.750 --> 01:21:09.750]  Yes, because there's
[01:21:09.750 --> 01:21:11.590]  a problem with oranges right
[01:21:11.590 --> 01:21:14.350]  now and oranges have been
[01:21:14.350 --> 01:21:16.630]  some type of disease
[01:21:16.630 --> 01:21:18.470]  that they that's not it's not
[01:21:19.430 --> 01:21:22.230]  something green, something.
[01:21:22.230 --> 01:21:24.350]  That's why they wish they were
[01:21:24.350 --> 01:21:26.150]  just maybe extinct if we can't
[01:21:26.150 --> 01:21:27.390]  figure this out.
[01:21:27.390 --> 01:21:29.390]  Right. Is it mosaic disease
[01:21:29.390 --> 01:21:30.070]  or what?
[01:21:30.070 --> 01:21:32.430]  No, it's a it's a it's a greening.
[01:21:32.430 --> 01:21:34.510]  It makes the makes the oranges
[01:21:34.510 --> 01:21:35.750]  just stay green.
[01:21:35.750 --> 01:21:37.590]  And I don't know if
[01:21:37.590 --> 01:21:39.830]  never the truth is dying.
[01:21:39.830 --> 01:21:40.830]  Yeah.
[01:21:42.870 --> 01:21:44.470]  Yeah, I remember there's another
[01:21:44.470 --> 01:21:45.710]  disease that's been going around.
[01:21:45.710 --> 01:21:46.470]  Oh, crap.
[01:21:46.470 --> 01:21:48.350]  Yeah, that does.
[01:21:48.350 --> 01:21:50.110]  Yeah, it drags them down.
[01:21:50.110 --> 01:21:51.110]  Yeah.
[01:21:52.750 --> 01:21:54.470]  Yeah, so Google has been
[01:21:54.470 --> 01:21:56.790]  hitting Canada really bad, too.
[01:21:56.790 --> 01:21:58.070]  So here here's the Google,
[01:21:58.070 --> 01:21:59.990]  the definition of Kronja chemical
[01:21:59.990 --> 01:22:02.070]  properties of pest control.
[01:22:02.070 --> 01:22:03.430]  And this is what Google comes up
[01:22:03.430 --> 01:22:05.190]  with. Kronja oil has
[01:22:05.190 --> 01:22:06.990]  similar insecticidal properties to
[01:22:06.990 --> 01:22:08.910]  neem oil and acts against a number
[01:22:08.910 --> 01:22:11.230]  of insects, insects and other pests
[01:22:11.230 --> 01:22:13.070]  with the mild and versatile aroma.
[01:22:13.070 --> 01:22:15.590]  It acts as an
[01:22:15.590 --> 01:22:17.350]  aeris aeroside.
[01:22:17.390 --> 01:22:19.510]  So AC, A.R.
[01:22:19.510 --> 01:22:22.190]  ICID and insecticide
[01:22:22.190 --> 01:22:24.230]  Kronja oil is a known
[01:22:24.230 --> 01:22:26.630]  nitrification inhibitory
[01:22:26.630 --> 01:22:27.630]  properties.
[01:22:28.950 --> 01:22:30.870]  So like they're really like I haven't
[01:22:30.870 --> 01:22:32.910]  been like your basic Google searching,
[01:22:32.910 --> 01:22:35.110]  like I have been able to get
[01:22:35.110 --> 01:22:37.310]  a lot of information
[01:22:37.310 --> 01:22:39.310]  on exactly what the chemical
[01:22:39.310 --> 01:22:42.590]  constituencies are in it.
[01:22:42.590 --> 01:22:44.310]  But it's it's it's similar, like it's
[01:22:44.310 --> 01:22:46.790]  an oil based surfactant.
[01:22:46.790 --> 01:22:48.550]  It's an oil based that probably
[01:22:48.550 --> 01:22:50.510]  suffocates and is a neuro
[01:22:50.510 --> 01:22:52.150]  I think it's a nod to the
[01:22:52.150 --> 01:22:53.390]  seed or whatever.
[01:22:53.390 --> 01:22:55.270]  Probably pretty, pretty dang close
[01:22:55.270 --> 01:22:56.910]  to to neem oil as well.
[01:22:56.910 --> 01:22:58.550]  Yeah, but it doesn't make you
[01:22:58.550 --> 01:23:00.430]  anything like neem.
[01:23:00.430 --> 01:23:02.150]  Yeah, I hear it smells nice.
[01:23:02.150 --> 01:23:03.630]  It says it smells lovely.
[01:23:03.630 --> 01:23:04.790]  Yeah, it's lovely.
[01:23:04.790 --> 01:23:06.870]  My my partner that is in the
[01:23:06.870 --> 01:23:09.110]  grove with me, he is 100
[01:23:09.110 --> 01:23:10.590]  percent. He's like, I hate neem.
[01:23:10.590 --> 01:23:12.470]  That stuff stinks.
[01:23:12.470 --> 01:23:13.710]  And he's totally against it.
[01:23:13.710 --> 01:23:14.870]  But he's like, you can spray the
[01:23:14.870 --> 01:23:15.910]  Kronja and stuff.
[01:23:15.910 --> 01:23:16.830]  And I'm like, dude, I'm not
[01:23:16.830 --> 01:23:18.350]  spraying one without the other,
[01:23:18.350 --> 01:23:20.070]  you know, but like it clogs
[01:23:20.070 --> 01:23:21.630]  the stomata.
[01:23:21.630 --> 01:23:23.430]  It's an oil, you
[01:23:23.430 --> 01:23:26.350]  know, just like spraying sulfur.
[01:23:26.350 --> 01:23:28.630]  All that stuff is residual.
[01:23:28.630 --> 01:23:30.630]  I mean, I use a leaf polisher
[01:23:30.630 --> 01:23:32.150]  and I'll clean the leaf like I don't
[01:23:32.150 --> 01:23:34.190]  always like I'll get my three
[01:23:34.190 --> 01:23:35.430]  sprays in one week.
[01:23:35.430 --> 01:23:37.510]  I'll do my Monday spray,
[01:23:37.510 --> 01:23:39.510]  my Thursday spray and my Monday
[01:23:39.510 --> 01:23:41.390]  spray, you know, or whatever.
[01:23:41.390 --> 01:23:43.710]  And then I'm good for like a month.
[01:23:43.710 --> 01:23:45.230]  But at some point I need if it
