[00:00.000 --> 00:03.040]  with this phytocannabinoid diet.
[01:54:39.260 --> 01:54:41.140]  stair treads, a lot of things like that.
[01:54:41.140 --> 01:54:43.980]  It's all interior non-structural.
[01:54:43.980 --> 01:54:45.900]  We can make structural products,
[01:54:45.900 --> 01:54:47.700]  but I've never been able to make money out of that.
[01:54:47.700 --> 01:54:51.100]  So I'm kind of choosing the low hanging fruit of flooring.
[01:54:51.100 --> 01:54:52.500]  I already have flooring customers
[01:54:52.500 --> 01:54:54.660]  from other businesses and things like that.
[01:54:54.660 --> 01:54:55.820]  It's beautiful by the way.
[01:54:55.820 --> 01:54:56.660]  Oh yeah.
[01:54:56.660 --> 01:54:57.500]  It's good looking stuff up there.
[01:54:57.500 --> 01:54:59.980]  Oh, it's what everybody wants to put in their own home.
[01:54:59.980 --> 01:55:01.180]  It's not the cheapest thing.
[01:55:01.180 --> 01:55:02.340]  People are gonna put vinyl,
[01:55:02.340 --> 01:55:03.220]  they're gonna put stuff
[01:55:03.220 --> 01:55:06.140]  that's actually not healthy for you in rentals.
[01:55:06.140 --> 01:55:07.900]  But when you think about what you wanna have
[01:55:07.900 --> 01:55:08.740]  in your own home,
[01:55:08.740 --> 01:55:10.500]  because with the windows closed
[01:55:10.540 --> 01:55:11.820]  and the doors shut,
[01:55:11.820 --> 01:55:15.340]  the VOC emissions that come from people using dirty glues
[01:55:15.340 --> 01:55:16.660]  or using plastics,
[01:55:16.660 --> 01:55:18.940]  that's a lot of what's causing cancer in the world.
[01:55:18.940 --> 01:55:21.860]  And people don't really wanna talk about it,
[01:55:21.860 --> 01:55:22.860]  but at the end of the day,
[01:55:22.860 --> 01:55:23.980]  that's what it is,
[01:55:23.980 --> 01:55:26.900]  is people are using unclean things
[01:55:26.900 --> 01:55:27.900]  and they're breathing it in
[01:55:27.900 --> 01:55:29.140]  and then they're getting cancer.
[01:55:29.140 --> 01:55:30.420]  So what we're trying to do
[01:55:30.420 --> 01:55:33.540]  is we're using fast growing hemp stalks.
[01:55:33.540 --> 01:55:35.140]  After they take off the top of the plant
[01:55:35.140 --> 01:55:37.260]  and they use that for the flower and the seed,
[01:55:37.260 --> 01:55:39.500]  then we use the bottom just like wheat straw.
[01:55:39.500 --> 01:55:41.500]  It's basically the wheat straw model.
[01:55:41.500 --> 01:55:42.660]  We buy bales of hemp.
[01:55:42.660 --> 01:55:45.020]  It all comes from within 100 miles of our plant.
[01:55:45.020 --> 01:55:47.420]  We pay everybody at the plant living wages.
[01:55:47.420 --> 01:55:50.060]  So when $15 an hour was announced
[01:55:50.060 --> 01:55:51.340]  as being a thing in New York City,
[01:55:51.340 --> 01:55:53.260]  I was like, yeah, it's our starting rate.
[01:55:53.260 --> 01:55:54.500]  In Murray, Kentucky,
[01:55:54.500 --> 01:55:56.100]  you can buy a single family home.
[01:55:57.260 --> 01:55:58.100]  We're also-
[01:55:58.100 --> 01:55:58.940]  Kudos to you guys.
[01:55:58.940 --> 01:55:59.780]  I grew up in Georgia,
[01:55:59.780 --> 01:56:01.180]  so I know a little bit.
[01:56:01.180 --> 01:56:02.580]  My father was from Kentucky.
[01:56:03.660 --> 01:56:05.140]  It's a little bit cheaper to live down there.
[01:56:05.140 --> 01:56:06.100]  So 15 an hour,
[01:56:06.100 --> 01:56:08.900]  that's quite a nice little starting wage.
[01:56:08.900 --> 01:56:10.700]  For sure, you can buy a single family home
[01:56:10.700 --> 01:56:13.820]  on a half acre in town for 80 to $100,000.
[01:56:13.820 --> 01:56:16.540]  So you can buy your own home making our starting wage.
[01:56:17.580 --> 01:56:20.420]  So we're also doing a lot with the adhesives.
[01:56:20.420 --> 01:56:22.620]  So we have no added formaldehyde
[01:56:22.620 --> 01:56:24.180]  in our product whatsoever.
[01:56:24.180 --> 01:56:28.420]  That is becoming the norm in American manufacturing.
[01:56:28.420 --> 01:56:30.860]  But all of your imported wood products,
[01:56:30.860 --> 01:56:33.780]  if they're laminated products like plywood or OSB,
[01:56:33.780 --> 01:56:35.540]  they typically have formaldehyde
[01:56:35.540 --> 01:56:37.340]  and nobody wants to talk about it.
[01:56:37.340 --> 01:56:41.100]  But you can't set up new facilities in the United States
[01:56:41.100 --> 01:56:43.060]  using formaldehyde-based glues
[01:56:43.060 --> 01:56:45.180]  because of what it does to your employees.
[01:56:45.180 --> 01:56:48.780]  But people kind of hide the fact that phenolic,
[01:56:48.780 --> 01:56:51.740]  if you get a phenolic resin piece of plywood,
[01:56:51.740 --> 01:56:53.460]  that's phenol formaldehyde.
[01:56:53.460 --> 01:56:56.220]  That's the way a church ended up saying phenolic.
[01:56:56.220 --> 01:56:58.220]  But that's what's causing all these problems.
[01:56:58.220 --> 01:57:00.180]  We use a soy-based adhesive.
[01:57:00.180 --> 01:57:02.780]  So in using a soy-based adhesive in our product,
[01:57:02.780 --> 01:57:04.780]  we're, from what I'm being told,
[01:57:04.780 --> 01:57:07.180]  and I don't want to, I guess, make it public,
[01:57:08.020 --> 01:57:10.220]  but we're a net carbon negative
[01:57:10.220 --> 01:57:12.220]  building material manufacturer.
[01:57:12.220 --> 01:57:14.980]  And I'm being told that there's not too many,
[01:57:14.980 --> 01:57:17.300]  if any others, in the States.
[01:57:17.300 --> 01:57:18.940]  That's why, again, Bruce,
[01:57:18.940 --> 01:57:21.820]  that's why I feel like why he was singing praises so much.
[01:57:21.820 --> 01:57:25.260]  Your company is forward thinking in a lot of ways.
[01:57:26.740 --> 01:57:28.380]  We try building materials.
[01:57:28.380 --> 01:57:29.420]  Yeah.
[01:57:29.420 --> 01:57:30.260]  Yeah.
[01:57:30.260 --> 01:57:32.860]  So we use about a thousand acres of that each year.
[01:57:33.860 --> 01:57:35.900]  No one really knows the exact amount of carbon
[01:57:35.940 --> 01:57:38.100]  that gets pulled out in the air per acre.
[01:57:38.100 --> 01:57:40.860]  But the reality is I'm hearing five, I'm hearing 10,
[01:57:40.860 --> 01:57:42.380]  I'm hearing 15.
[01:57:42.380 --> 01:57:44.980]  Even if it's five, we're still net carbon negative.
[01:57:44.980 --> 01:57:46.780]  Because we take our waste,
[01:57:46.780 --> 01:57:48.940]  and that's what we use as our energy in the plant.
[01:57:48.940 --> 01:57:51.740]  So we have 100% hydroelectric.
[01:57:51.740 --> 01:57:53.260]  Where we are, I mean, we're in Tennessee,
[01:57:53.260 --> 01:57:54.580]  where the valley is.
[01:57:54.580 --> 01:57:57.180]  And so it's all dam water that creates the electric.
[01:57:57.180 --> 01:57:58.260]  So you don't have any coal,
[01:57:58.260 --> 01:58:00.500]  you don't have any of that stuff for our electricity.
[01:58:00.500 --> 01:58:02.500]  And then we've replaced our natural gas
[01:58:02.500 --> 01:58:05.860]  with our bio-burner that takes our waste from the plant,
[01:58:06.700 --> 01:58:08.460]  and it burns it, transfers the energy via glycol
[01:58:08.460 --> 01:58:09.700]  around the facility.
[01:58:09.700 --> 01:58:12.260]  So all of our ovens, dryers, kilns,
[01:58:12.260 --> 01:58:13.860]  and heating up the facility,
[01:58:13.860 --> 01:58:15.460]  which used to be natural gas,
[01:58:15.460 --> 01:58:17.580]  is now powered by our waste.
[01:58:17.580 --> 01:58:18.900]  Oh, yeah.
[01:58:18.900 --> 01:58:20.740]  And we burn it to a certain degree,
[01:58:20.740 --> 01:58:22.340]  so we actually get biochar.
[01:58:22.340 --> 01:58:24.780]  So instead of that carbon going back out into the air,
[01:58:24.780 --> 01:58:26.220]  we get the biochar that we put back
[01:58:26.220 --> 01:58:28.060]  into our hemispheres next year.
[01:58:28.060 --> 01:58:29.620]  Yeah, a lot of our viewers,
[01:58:29.620 --> 01:58:30.740]  I know that you might not know this,
[01:58:30.740 --> 01:58:32.740]  but we're all living soil growers.
[01:58:32.740 --> 01:58:33.580]  Okay.
[01:58:33.580 --> 01:58:34.420]  Biochar is definitely something
[01:58:34.420 --> 01:58:35.620]  that we add to our system.
[01:58:36.380 --> 01:58:39.180]  The beauty of it is that it's really a small little thing
[01:58:39.180 --> 01:58:40.020]  that you need to add,
[01:58:40.020 --> 01:58:42.060]  and at least for our growing,
[01:58:42.060 --> 01:58:43.860]  our lifetime, it's gonna last forever.
[01:58:43.860 --> 01:58:45.540]  So biochar is definitely something
[01:58:45.540 --> 01:58:47.980]  that I feel like our industry needs to use,
[01:58:47.980 --> 01:58:50.220]  and if it's a byproduct from what you guys are doing,
[01:58:50.220 --> 01:58:53.100]  then hey, that's even a better closed-loop system.
[01:58:53.100 --> 01:58:54.020]  Absolutely, yeah.
[01:58:54.020 --> 01:58:55.380]  I live on an organic farm.
[01:58:55.380 --> 01:58:56.860]  It's just a little hobby farm.
[01:58:57.820 --> 01:59:00.380]  The part that I'm actually in control of and doing
[01:59:00.380 --> 01:59:01.860]  is about 37 acres,
[01:59:01.860 --> 01:59:04.580]  and we've got apples, we've got pears,
[01:59:04.580 --> 01:59:07.780]  we've got berries, we've got a vineyard doing grapes.
[01:59:07.780 --> 01:59:10.820]  We grow mushrooms there, and we have chickens and cows.
[01:59:10.820 --> 01:59:14.620]  And then the other side of the farm is actually,
[01:59:14.620 --> 01:59:17.060]  there's about eight dozen head of cattle on it,
[01:59:17.060 --> 01:59:18.980]  but it's all organic, so they're all grass-fed,
[01:59:18.980 --> 01:59:20.900]  and it's not that rough.
[01:59:20.900 --> 01:59:24.020]  Right directly surrounding us is all row crop,
[01:59:24.020 --> 01:59:27.300]  and you can see whenever the sprayers are out there,
[01:59:27.300 --> 01:59:30.540]  and I love ag, I love the outdoors.
[01:59:30.540 --> 01:59:33.100]  Our company comes from the farm
[01:59:33.100 --> 01:59:34.540]  and the manufacturing side.
[01:59:35.500 --> 01:59:36.580]  We're not hemp people,
[01:59:36.580 --> 01:59:39.140]  although it seems to be the right place, right time,
[01:59:39.140 --> 01:59:42.580]  where hemp is actually, in my opinion, if we do it right,
[01:59:42.580 --> 01:59:45.100]  can become a single-digit percentage
[01:59:45.100 --> 01:59:47.700]  of American agriculture, what's planted everywhere.
[01:59:47.700 --> 01:59:49.860]  Is it 1%? Is it 5%?
[01:59:49.860 --> 01:59:51.580]  That's what the question is.
[01:59:51.580 --> 01:59:54.740]  And if we do it right, we can get it to that 5%.
[01:59:54.740 --> 01:59:58.940]  In our industry, being lumber, hardwoods, and flooring,
[01:59:58.940 --> 02:00:01.860]  it has the possibility to be a single-digit percentage
[02:00:01.860 --> 02:00:05.820]  of the hardwood flooring industry in the United States,
[02:00:05.820 --> 02:00:07.580]  as well as a single-digit percentage
[02:00:07.580 --> 02:00:11.140]  of the hard lumber industry.
[02:00:11.140 --> 02:00:15.980]  And is that 1% or 5% just depends on how much work we do.
[02:00:15.980 --> 02:00:17.900]  So are you pioneers in this?
[02:00:17.900 --> 02:00:19.940]  Do you feel like there's, do you have competition yet,
[02:00:19.940 --> 02:00:21.460]  or are you guys kind of out there?
[02:00:21.460 --> 02:00:22.460]  We don't have any competition.
[02:00:22.460 --> 02:00:23.620]  That's what I thought, yeah.
[02:00:23.620 --> 02:00:26.220]  We have patents and trademarks.
[02:00:26.220 --> 02:00:27.860]  We have a trademark on the word hempwood
[02:00:27.860 --> 02:00:30.420]  for flooring, building materials, and lumber,
[02:00:30.420 --> 02:00:32.780]  and the logo in the United States, Canada,
[02:00:32.780 --> 02:00:34.540]  the EU, and Australia.
[02:00:34.540 --> 02:00:37.260]  And then patents in the same places
[02:00:37.260 --> 02:00:40.660]  on how to make the lumber, how to make the flooring,
[02:00:40.660 --> 02:00:42.220]  as well as how to make panels.
[02:00:43.340 --> 02:00:45.220]  So I did my homework.
[02:00:45.220 --> 02:00:46.060]  Yeah, brother.
[02:00:46.060 --> 02:00:48.140]  It was invented actually in 2010.
[02:00:48.140 --> 02:00:49.460]  It wasn't legal at the time.
[02:00:49.460 --> 02:00:51.180]  I did it in the nanotech labs
[02:00:51.180 --> 02:00:53.060]  when I was doing the bamboo stuff,
[02:00:53.060 --> 02:00:54.700]  and we called it Weedwood.
[02:00:54.700 --> 02:00:58.620]  And it was just kind of a joke until the farm bill in 2014,
[02:00:58.620 --> 02:01:00.820]  and I started a company called Timber Technologies
[02:01:00.820 --> 02:01:02.940]  where we were recycling woods from plywood mills
[02:01:02.940 --> 02:01:06.700]  in Poland and in Tasmania and in Ukraine.
[02:01:06.700 --> 02:01:09.580]  And one of the customers from the bamboo company called,
[02:01:09.580 --> 02:01:12.660]  actually one of the biggest flooring companies in the US,
[02:01:12.660 --> 02:01:15.180]  called and said, hey, we want you to come in
[02:01:15.180 --> 02:01:17.940]  and do a project for the due diligence
[02:01:17.940 --> 02:01:20.900]  of whether hemp would make good flooring.
[02:01:20.900 --> 02:01:24.100]  And the answer was yes, it would,
[02:01:24.100 --> 02:01:26.460]  but it wasn't federally legal.
[02:01:26.460 --> 02:01:28.220]  So there are legal teams that know
[02:01:28.820 --> 02:01:30.140]  that they weren't allowed to touch it.
[02:01:30.140 --> 02:01:32.300]  And so that's where I kind of put on my entrepreneur hat
[02:01:32.300 --> 02:01:35.380]  and said, better go figure out how to put a patent on it.
[02:01:35.380 --> 02:01:37.660]  And that's where the idea of hemp would come from.
[02:01:37.660 --> 02:01:39.740]  Knew it would work in 2010,
[02:01:39.740 --> 02:01:43.020]  then the market started asking for it in 2015.
[02:01:43.020 --> 02:01:45.700]  And then because they said they couldn't do it,
[02:01:45.700 --> 02:01:47.700]  I still had the rights to figure out how to do it
[02:01:47.700 --> 02:01:49.980]  and filed some patents in 2016,
[02:01:51.020 --> 02:01:53.020]  sold my house and built a factory.
[02:01:53.020 --> 02:01:54.220]  Congratulations.
[02:01:54.220 --> 02:01:56.220]  You seem quite the entrepreneur.
[02:01:56.220 --> 02:01:57.180]  This is my eighth company.
[02:01:57.180 --> 02:01:58.060]  Yeah.
[02:01:58.700 --> 02:01:59.540]  That's what I do.
[02:01:59.540 --> 02:02:00.380]  I invent something.
[02:02:00.380 --> 02:02:02.340]  I try to set it up, get it to a point.
[02:02:02.340 --> 02:02:03.820]  And then when it becomes corporatized
[02:02:03.820 --> 02:02:08.060]  or too much red tape, I get out of there.
[02:02:08.060 --> 02:02:09.820]  I usually don't sell it off.
[02:02:09.820 --> 02:02:12.300]  I keep it so I can fund my next thing.
[02:02:12.300 --> 02:02:14.140]  You'll sell a little bit at a time
[02:02:14.140 --> 02:02:16.580]  whenever you got to buy a new press machine.
[02:02:16.580 --> 02:02:18.980]  And then whenever things are going bad,
[02:02:18.980 --> 02:02:21.900]  you sell off your inventory or sell off your equity
[02:02:21.900 --> 02:02:22.740]  to fund the next one.
[02:02:22.740 --> 02:02:25.140]  It just kind of goes and goes and goes.
[02:02:25.140 --> 02:02:27.020]  I did that with bamboo.
[02:02:28.340 --> 02:02:30.340]  I actually invented the system
[02:02:30.340 --> 02:02:32.620]  that's used in breathalyzers in police departments.
[02:02:32.620 --> 02:02:33.460]  Wow.
[02:02:33.460 --> 02:02:35.700]  So not the actual breathalyzer system,
[02:02:35.700 --> 02:02:38.980]  but the means of blowing hot air across the fuel cell sensor.
[02:02:38.980 --> 02:02:41.300]  So you would dry out the residual alcohol value
[02:02:41.300 --> 02:02:42.460]  from the previous user,
[02:02:42.460 --> 02:02:45.420]  and you'd get a true zero as your base rating.
[02:02:45.420 --> 02:02:47.740]  Then you can test how much people
[02:02:47.740 --> 02:02:48.780]  have actually had to drink
[02:02:48.780 --> 02:02:52.260]  rather than using a software that creates a false zero
[02:02:52.260 --> 02:02:53.940]  that they try to base it off.
[02:02:53.940 --> 02:02:55.420]  That's because a couple of my buddies died
[02:02:55.420 --> 02:02:57.180]  drinking and driving.
[02:02:57.180 --> 02:02:59.420]  One of them was actually a pitcher for the Angels.
[02:02:59.420 --> 02:03:00.660]  He threw a shutout,
[02:03:00.660 --> 02:03:03.060]  and someone watching the game for him
[02:03:03.060 --> 02:03:04.620]  killed him after the game.
[02:03:04.620 --> 02:03:05.980]  Nick Adenhart, he grew up,
[02:03:05.980 --> 02:03:08.220]  he was a year younger than my little brother,
