[00:00.000 --> 00:00.840]  Damn it.
[59:08.210 --> 59:09.890]  I can probably eat anything at any time I want to
[59:09.890 --> 59:11.170]  if I'm feeling like it, you know,
[59:11.170 --> 59:13.090]  but back in Hawaii,
[59:13.090 --> 59:16.890]  when you have super delicious food at your fingertips,
[59:16.890 --> 59:18.770]  like apple bananas.
[59:18.770 --> 59:19.850]  Fresh fruits.
[59:19.850 --> 59:20.690]  Guava.
[59:20.690 --> 59:21.530]  Yeah.
[59:21.530 --> 59:24.170]  Kaya, mangoes, lillacoy,
[59:24.170 --> 59:26.690]  literally on the property, like everywhere.
[59:26.690 --> 59:30.210]  So I mean, like I was, I was in recoup mode.
[59:30.210 --> 59:33.690]  I was recuperating from like just head trauma,
[59:33.690 --> 59:35.490]  heart trauma, you know, just like,
[59:36.330 --> 59:38.250]  just recuperating, finding myself, you know,
[59:38.250 --> 59:40.690]  like after finding myself in Tahoe
[59:40.690 --> 59:42.570]  and it's like beating myself up,
[59:42.570 --> 59:45.770]  like Mama Pele took care of me, you know.
[59:45.770 --> 59:48.050]  She's like, if you open your heart, work hard,
[59:48.050 --> 59:49.370]  you know, she took care of me.
[59:49.370 --> 59:53.170]  And I have a lot of love and respect for that island,
[59:53.170 --> 59:54.930]  for the crew that took care of me,
[59:54.930 --> 59:57.410]  for the crew that was there for me in my hard times,
[59:57.410 --> 59:58.930]  like big ups and respect.
[59:58.930 --> 01:00:01.050]  Like, I hope you all well.
[01:00:01.050 --> 01:00:03.490]  If you ever want to get some really high grade CBD,
[01:00:03.810 --> 01:00:06.690]  go check out Sheen of Hawaii,
[01:00:06.690 --> 01:00:09.010]  that they got some really good CBD genetics,
[01:00:09.010 --> 01:00:11.850]  really amazing crew.
[01:00:11.850 --> 01:00:13.530]  S-H-E-E-N.
[01:00:13.530 --> 01:00:14.370]  Yeah.
[01:00:14.370 --> 01:00:17.770]  And that's a whole nother thing I'd love to get into,
[01:00:17.770 --> 01:00:19.490]  maybe shout out some Hawaiian crew.
[01:00:19.490 --> 01:00:23.450]  That to me is some of the best weed I've ever smoked.
[01:00:23.450 --> 01:00:25.050]  It's called the Sheen.
[01:00:26.050 --> 01:00:29.050]  They've won an award with it, with their hash.
[01:00:29.970 --> 01:00:32.650]  Yeah, it's, I mean, Hawaii's got greater,
[01:00:32.650 --> 01:00:33.810]  that's Hawaii, you know what I mean?
[01:00:33.810 --> 01:00:35.930]  The hardest part about growing weed in Hawaii
[01:00:35.930 --> 01:00:37.450]  is drying it, you know?
[01:00:37.450 --> 01:00:39.530]  The humidity.
[01:00:39.530 --> 01:00:40.930]  Yeah, you know, I was going to ask you
[01:00:40.930 --> 01:00:41.890]  about some of those things,
[01:00:41.890 --> 01:00:44.170]  but a comment here from 71DPO,
[01:00:44.170 --> 01:00:46.970]  he does a show here, Saturday's Mental Breakdown,
[01:00:46.970 --> 01:00:48.490]  where he does, he talks a lot about, you know,
[01:00:48.490 --> 01:00:52.210]  mental health, a lot of stigmatisms associated with that.
[01:00:52.210 --> 01:00:55.610]  But, you know, he says he's feeling that a deeper connection
[01:00:55.610 --> 01:00:57.690]  when he started making his own inputs.
[01:00:57.690 --> 01:01:00.410]  And yeah, I absolutely, I give him shit about it,
[01:01:00.410 --> 01:01:02.890]  but that's just to bust his balls.
[01:01:02.890 --> 01:01:05.170]  But yeah, you know, you really,
[01:01:05.170 --> 01:01:06.570]  you feel more connected to it.
[01:01:06.570 --> 01:01:09.330]  And that's a lot of the reason why a lot of us,
[01:01:09.330 --> 01:01:11.970]  or at least myself, wanted to start growing,
[01:01:11.970 --> 01:01:14.010]  because I wanted it to be clean.
[01:01:14.010 --> 01:01:16.450]  I wanted to know what was going into it.
[01:01:16.450 --> 01:01:18.690]  But it, you know, it captivates you
[01:01:18.690 --> 01:01:19.810]  when you start growing it.
[01:01:19.810 --> 01:01:21.770]  There's, you know, everybody says is, you know,
[01:01:21.770 --> 01:01:24.650]  who's the master and who's the, you know, the servant?
[01:01:24.650 --> 01:01:26.450]  Oh, I'm a plant servant.
[01:01:26.450 --> 01:01:28.610]  I'm a servant to the plant.
[01:01:28.610 --> 01:01:31.130]  I do what she says, you know, like,
[01:01:31.130 --> 01:01:32.890]  and I get respect, bro.
[01:01:32.890 --> 01:01:35.850]  Like, KNF and Jodam is a beautiful,
[01:01:35.850 --> 01:01:37.170]  of a beautiful practice.
[01:01:37.170 --> 01:01:38.370]  I don't talk shit on it.
[01:01:38.370 --> 01:01:40.650]  This is just a part of my story.
[01:01:40.650 --> 01:01:43.490]  We'll get into my whole Jodam, KNF practice.
[01:01:43.490 --> 01:01:45.890]  That's what I use in my backyard currently.
[01:01:45.890 --> 01:01:48.050]  It's different KNF and Jodam
[01:01:48.050 --> 01:01:50.650]  and other African natural farming techniques.
[01:01:50.650 --> 01:01:53.450]  And I've just, you know, natural farming,
[01:01:53.450 --> 01:01:55.970]  like natural farming, regenerative,
[01:01:55.970 --> 01:01:58.250]  because everybody trying to do that, you know,
[01:01:58.930 --> 01:01:59.770]  this is just a little part.
[01:01:59.770 --> 01:02:01.370]  That's what I was doing at the time.
[01:02:01.370 --> 01:02:02.730]  It's what I knew at the time, you know,
[01:02:02.730 --> 01:02:05.970]  as we grow, we grow, hopefully, you know,
[01:02:05.970 --> 01:02:07.610]  that's what we want to do.
[01:02:07.610 --> 01:02:09.890]  Like whether we're growing humans,
[01:02:09.890 --> 01:02:12.090]  we're growing plants or, you know,
[01:02:12.090 --> 01:02:15.490]  we're growing whatever, you know,
[01:02:15.490 --> 01:02:16.490]  if you're paying attention,
[01:02:16.490 --> 01:02:18.290]  you're hopefully growing and learning, you know.
[01:02:18.290 --> 01:02:19.130]  Yes. Yeah.
[01:02:19.130 --> 01:02:20.970]  The never, never ending battle.
[01:02:20.970 --> 01:02:22.570]  And that's something that you want to do.
[01:02:22.570 --> 01:02:24.810]  And it real quick, I had wrote this down
[01:02:24.810 --> 01:02:28.050]  because you had mentioned the girl that you had met
[01:02:28.850 --> 01:02:29.690]  and you were talking about,
[01:02:29.690 --> 01:02:31.090]  I was doing yoga out there on the big island
[01:02:31.090 --> 01:02:32.490]  and we were talking about a small world.
[01:02:32.490 --> 01:02:33.890]  Did it happen to be in the Puna area at all?
[01:02:33.890 --> 01:02:35.170]  Kalani.
[01:02:35.170 --> 01:02:39.090]  My wife graduated from Kalani's.
[01:02:39.090 --> 01:02:40.410]  So did my wife.
[01:02:40.410 --> 01:02:43.850]  200 hours certification for yoga.
[01:02:43.850 --> 01:02:44.970]  Holy shit.
[01:02:44.970 --> 01:02:49.490]  She's a huge Hornings hideout, like a string summit person.
[01:02:49.490 --> 01:02:50.810]  She would go every year.
[01:02:50.810 --> 01:02:51.770]  She was heartbroken.
[01:02:51.770 --> 01:02:55.890]  This was the last year for it after COVID.
[01:02:56.650 --> 01:02:58.330]  So we have a lot in common, Chad.
[01:02:58.330 --> 01:02:59.330]  Fuck, dude.
[01:03:00.410 --> 01:03:02.410]  That's so crazy.
[01:03:02.410 --> 01:03:05.170]  Man, I tell you, man, it's the connection.
[01:03:05.170 --> 01:03:07.050]  One connection, one love.
[01:03:07.050 --> 01:03:08.210]  We're all connected, man.
[01:03:08.210 --> 01:03:09.770]  It's a beautiful thing.
[01:03:10.650 --> 01:03:12.770]  And this plant brought us together today.
[01:03:12.770 --> 01:03:13.690]  Look at this, dude.
[01:03:13.690 --> 01:03:16.330]  That's beautiful.
[01:03:16.330 --> 01:03:17.610]  I was like, yo, I got some herbs.
[01:03:17.610 --> 01:03:18.450]  You want to smoke?
[01:03:18.450 --> 01:03:21.090]  Like that was my pickup line.
[01:03:21.090 --> 01:03:22.250]  And they're like, oh, what's this?
[01:03:22.250 --> 01:03:24.090]  I was like, I grew that.
[01:03:24.090 --> 01:03:27.610]  And yeah, you know, like, and so this is,
[01:03:27.610 --> 01:03:29.290]  it's embarrassing.
[01:03:29.290 --> 01:03:30.890]  My mind's blown right now.
[01:03:30.890 --> 01:03:32.690]  Like, and I'm trying to think back.
[01:03:32.690 --> 01:03:34.210]  So it was probably, you said nine years.
[01:03:34.210 --> 01:03:37.010]  I think it was maybe six or seven years ago
[01:03:37.010 --> 01:03:40.410]  that she was there, but holy shit.
[01:03:40.410 --> 01:03:41.250]  That's.
[01:03:41.250 --> 01:03:44.050]  I think I could be misspeaking,
[01:03:44.050 --> 01:03:46.490]  but I think it got buried by lava.
[01:03:47.330 --> 01:03:49.130]  Yeah, it was close.
[01:03:49.130 --> 01:03:51.170]  Like it, the last time that it went,
[01:03:51.170 --> 01:03:52.530]  it was heading for it.
[01:03:52.530 --> 01:03:54.490]  But then like at the last minute,
[01:03:54.490 --> 01:03:57.170]  I think she had said it kind of diverted and went around.
[01:03:57.170 --> 01:04:00.090]  And now it's not the same retreat.
[01:04:00.090 --> 01:04:03.130]  I think it's more of a like a vacation spot,
[01:04:03.130 --> 01:04:05.370]  but she still knows a few of the people that cook there.
[01:04:05.370 --> 01:04:06.650]  So.
[01:04:06.650 --> 01:04:11.650]  Yeah, I was on the Kona side and the Eden Rocks big up,
[01:04:13.730 --> 01:04:17.890]  you know, all the, all the fucking whole Hawaii big up,
[01:04:17.890 --> 01:04:21.090]  like real talk, Hawaii special, really special.
[01:04:22.690 --> 01:04:23.530]  For real.
[01:04:23.530 --> 01:04:25.690]  And you mentioned too, that, you know, the USDA,
[01:04:26.850 --> 01:04:28.010]  you know, organics,
[01:04:28.010 --> 01:04:32.050]  when I was doing school for sustainable agriculture,
[01:04:32.050 --> 01:04:34.010]  that's when a lot of the labeling,
[01:04:34.010 --> 01:04:37.290]  that's when organics on a product became marketing.
[01:04:37.290 --> 01:04:40.450]  Once these little labels and things that, you know,
[01:04:40.450 --> 01:04:43.650]  make you want to buy it and pay like $3 more,
[01:04:43.650 --> 01:04:44.930]  they became marketing.
[01:04:44.930 --> 01:04:47.650]  The standards progressively dropped.
[01:04:47.650 --> 01:04:52.050]  Like you could get into, you know, the grass fed beef,
[01:04:52.570 --> 01:04:55.010]  but is it grass finished or is it finished?
[01:04:55.010 --> 01:04:57.810]  These are not things that were taught as consumers
[01:04:57.810 --> 01:04:59.970]  that you see the little sticker and you're like,
[01:04:59.970 --> 01:05:02.410]  feel good logo, buy it.
[01:05:02.410 --> 01:05:03.250]  Yeah.
[01:05:03.250 --> 01:05:04.970]  And I've definitely come victim
[01:05:04.970 --> 01:05:06.810]  of all of the marketing ploys, you know.
[01:05:06.810 --> 01:05:07.650]  Me too.
[01:05:07.650 --> 01:05:09.610]  Everybody has really, I mean, we're humans.
[01:05:09.610 --> 01:05:12.730]  That's, I think they've studied this to manipulate us
[01:05:12.730 --> 01:05:14.570]  and I could be wrong, but.
[01:05:14.570 --> 01:05:15.570]  I think you're right.
[01:05:17.690 --> 01:05:18.970]  But yeah, it's real talk.
[01:05:19.090 --> 01:05:23.690]  You know, it's, I've worked with lots of different crews.
[01:05:23.690 --> 01:05:27.010]  I'm grateful to say that, no talking shit on anybody,
[01:05:27.010 --> 01:05:29.690]  but like, you know, I've worked for people
[01:05:29.690 --> 01:05:32.770]  who are blowing up houses, who are sleeping on couches.
[01:05:32.770 --> 01:05:33.730]  And those are the people that are like,
[01:05:33.730 --> 01:05:35.930]  yo, I got enough money to buy another house.
[01:05:35.930 --> 01:05:38.290]  You want to sleep on the couch and grow four more rooms?
[01:05:38.290 --> 01:05:40.490]  And I'm like, not really.
[01:05:40.490 --> 01:05:42.010]  But, you know, respect to you.
[01:05:42.010 --> 01:05:43.130]  Like you're fucking killing it.
[01:05:43.130 --> 01:05:45.410]  I'll keep trimming for you and moving things around.
[01:05:45.410 --> 01:05:46.250]  But like.
[01:05:47.170 --> 01:05:48.010]  Hard time.
[01:05:48.010 --> 01:05:48.850]  Yeah, yeah.
[01:05:48.850 --> 01:05:52.650]  And also like, and they were using general hydroponics
[01:05:52.650 --> 01:05:53.650]  or botanic air.
[01:05:53.650 --> 01:05:56.890]  And like, at the time I didn't know, you know,
[01:05:56.890 --> 01:06:00.130]  like it looked good, smoked good, you know,
[01:06:00.130 --> 01:06:02.650]  but I could definitely tell a difference than my home.
[01:06:02.650 --> 01:06:05.850]  My like the outdoor herb I'd get in fall.
[01:06:05.850 --> 01:06:08.730]  You know, the outdoor, I mean, back in the day,
[01:06:08.730 --> 01:06:11.450]  those like little hoop house outdoors,
[01:06:11.450 --> 01:06:13.890]  the gorilla shade grown outdoors, those were good.
[01:06:13.890 --> 01:06:15.130]  That was good herb.
[01:06:15.130 --> 01:06:17.370]  Like, I'm not to say it's not anymore.
[01:06:17.770 --> 01:06:21.330]  But you know, it was, I just, fuck, I feel old.
[01:06:21.330 --> 01:06:22.290]  Like, it's just different.
[01:06:22.290 --> 01:06:23.970]  I'm not even old, but you know, it was just different.
[01:06:23.970 --> 01:06:28.970]  And it's like, as things change, things change.
[01:06:29.930 --> 01:06:31.370]  They, you know, they do.
[01:06:31.370 --> 01:06:33.490]  And, you know, you're kind of talking about
[01:06:33.490 --> 01:06:34.930]  or like hinting at, you know,
[01:06:34.930 --> 01:06:36.650]  there's a lot of people who get opinionated
[01:06:36.650 --> 01:06:38.770]  about grow styles out there.
[01:06:38.770 --> 01:06:42.610]  You know, I personally, I usually try to encourage
[01:06:42.610 --> 01:06:45.170]  a lot of people to start growing or get growing.
[01:06:45.170 --> 01:06:48.570]  And so they haven't necessarily experimented yet.
[01:06:48.570 --> 01:06:50.570]  So I'm like, you know what, just do
[01:06:50.570 --> 01:06:53.930]  whatever makes you do it, get good at it.
[01:06:53.930 --> 01:06:56.050]  And then if you want to explore and try different things,
[01:06:56.050 --> 01:06:57.090]  absolutely do that.
[01:06:57.090 --> 01:06:59.370]  I like doing it this way, give it a shot.
[01:06:59.370 --> 01:07:04.130]  But I'm all for any, anybody who wants to grow the plant
[01:07:04.130 --> 01:07:07.770]  and dedicate their time to this plant, hats off.
[01:07:07.770 --> 01:07:08.610]  You know?
[01:07:08.610 --> 01:07:10.010]  Respect, big ups, keep growing the plant.
[01:07:10.010 --> 01:07:11.810]  Like don't let anybody hate or hate on you.
[01:07:11.810 --> 01:07:14.050]  Like for real, I got friends who grow
[01:07:14.050 --> 01:07:16.770]  all types of big ag salts and they're crushing it
[01:07:16.770 --> 01:07:18.010]  and they're doing a great job.
[01:07:18.010 --> 01:07:20.050]  The product looks great and they flush it well.
[01:07:20.050 --> 01:07:23.610]  And it's top notch and people pay top dollar for it.
[01:07:23.610 --> 01:07:26.850]  Not to say that's the same exact with organic outdoor
