[00:00.000 --> 00:05.760]  Make the connection.
[01:10:50.960 --> 01:10:52.960]  sweet tooth 3, sweet tooth 4
[01:10:52.960 --> 01:10:54.960]  it was making the Louis at the same time
[01:10:54.960 --> 01:10:56.960]  yeah that was nice, that was beautiful
[01:10:56.960 --> 01:10:58.960]  I was running some
[01:10:58.960 --> 01:11:00.960]  it was chunky
[01:11:01.680 --> 01:11:03.680]  it was dense
[01:11:03.680 --> 01:11:05.680]  like a bag
[01:11:05.680 --> 01:11:07.680]  you get the half bag factor
[01:11:07.680 --> 01:11:09.680]  right Ruth?
[01:11:09.680 --> 01:11:11.680]  good color
[01:11:11.680 --> 01:11:13.680]  they were nice, they were good commercial
[01:11:13.680 --> 01:11:15.680]  that was mainly what I
[01:11:15.680 --> 01:11:17.680]  had to strive for
[01:11:17.680 --> 01:11:19.680]  how quality can I go
[01:11:19.680 --> 01:11:21.680]  but still be commercial
[01:11:21.680 --> 01:11:23.680]  if it wasn't a commercial strain
[01:11:23.680 --> 01:11:25.680]  nobody would grow it
[01:11:25.680 --> 01:11:27.680]  it was a shortage of cannabis then
[01:11:27.680 --> 01:11:29.680]  so if you could get cannabis
[01:11:30.400 --> 01:11:32.400]  they were getting in trouble
[01:11:32.400 --> 01:11:34.400]  if you got caught with it
[01:11:34.400 --> 01:11:36.400]  they wanted to get their yields
[01:11:36.400 --> 01:11:38.400]  and you needed the money for the lawyer
[01:11:38.400 --> 01:11:40.400]  you had to make enough cash
[01:11:40.400 --> 01:11:42.400]  how did you like that sweet skunk?
[01:11:42.400 --> 01:11:44.400]  how did you like the sweet skunk clone?
[01:11:44.400 --> 01:11:46.400]  I liked it, it was nice
[01:11:46.400 --> 01:11:48.400]  I laughed because it had that explosive stretch
[01:11:48.400 --> 01:11:50.400]  it opened up tall
[01:11:50.400 --> 01:11:52.400]  it opened up
[01:11:52.400 --> 01:11:54.400]  it was a beautiful product
[01:11:54.400 --> 01:11:56.400]  the grapefruit was interesting
[01:11:56.400 --> 01:11:58.400]  because it was one of the first real citrusy varieties
[01:11:59.120 --> 01:12:01.120]  same thing, it had incredible yield potential
[01:12:01.120 --> 01:12:03.120]  so we were running
[01:12:03.120 --> 01:12:05.120]  an indoor operation
[01:12:05.120 --> 01:12:07.120]  so we would just make them back
[01:12:07.120 --> 01:12:09.120]  good
[01:12:09.120 --> 01:12:11.120]  I lost all that stuff in raids
[01:12:11.120 --> 01:12:13.120]  well you have to get them back sometime
[01:12:13.120 --> 01:12:15.120]  the sweet skunk, what I would tell people
[01:12:15.120 --> 01:12:17.120]  if you want to see a green
[01:12:17.120 --> 01:12:19.120]  which is how I recommend it indoors
[01:12:19.120 --> 01:12:21.120]  is root the cuttings
[01:12:21.120 --> 01:12:23.120]  on 12 hours
[01:12:23.120 --> 01:12:25.120]  so that they're
[01:12:25.120 --> 01:12:27.120]  already thinking it's time
[01:12:27.840 --> 01:12:29.840]  to flower while they're rooting
[01:12:29.840 --> 01:12:31.840]  they root easy
[01:12:31.840 --> 01:12:33.840]  and then when they grow
[01:12:33.840 --> 01:12:35.840]  I was putting 36
[01:12:35.840 --> 01:12:37.840]  6x6
[01:12:37.840 --> 01:12:39.840]  under 1000 watt air cooled
[01:12:39.840 --> 01:12:41.840]  at the time
[01:12:41.840 --> 01:12:43.840]  and running
[01:12:43.840 --> 01:12:45.840]  just colas
[01:12:45.840 --> 01:12:47.840]  they were in a system where the roots ran down deep
[01:12:47.840 --> 01:12:49.840]  as well
[01:12:49.840 --> 01:12:51.840]  like an aquaponic, aeroponic scenario
[01:12:51.840 --> 01:12:53.840]  but they were
[01:12:53.840 --> 01:12:55.840]  that spacing
[01:12:56.560 --> 01:12:58.560]  they were like bats
[01:12:58.560 --> 01:13:00.560]  no branches
[01:13:00.560 --> 01:13:02.560]  if you ever saw one making a branch near the beginning
[01:13:02.560 --> 01:13:04.560]  you would just pull it off
[01:13:04.560 --> 01:13:06.560]  and they would just stretch
[01:13:06.560 --> 01:13:08.560]  like you know
[01:13:08.560 --> 01:13:10.560]  they triple in size
[01:13:10.560 --> 01:13:12.560]  so they would just turn into
[01:13:12.560 --> 01:13:14.560]  60 gram bats
[01:13:14.560 --> 01:13:16.560]  just like rows of bats
[01:13:16.560 --> 01:13:18.560]  they were gorgeous
[01:13:18.560 --> 01:13:20.560]  and the smell and taste of those
[01:13:20.560 --> 01:13:22.560]  is still one of my favorites
[01:13:22.560 --> 01:13:24.560]  that's still my go to
[01:13:25.280 --> 01:13:27.280]  I was watching a video
[01:13:27.280 --> 01:13:29.280]  of a guy on television
[01:13:29.280 --> 01:13:31.280]  and he was saying he gave you a Congo cut
[01:13:31.280 --> 01:13:33.280]  and wanted to see how you liked that Congo
[01:13:33.280 --> 01:13:35.280]  oh man I love the Congo
[01:13:35.280 --> 01:13:37.280]  I have a killer
[01:13:37.280 --> 01:13:39.280]  I'll have to send you a picture
[01:13:39.280 --> 01:13:41.280]  I got a killer one in my yard right now
[01:13:41.280 --> 01:13:43.280]  I got the cut from
[01:13:43.280 --> 01:13:45.280]  I was up in Canada
[01:13:45.280 --> 01:13:47.280]  and Marcus Richardson
[01:13:47.280 --> 01:13:49.280]  the bubble man
[01:13:49.280 --> 01:13:51.280]  brought me a nub of it
[01:13:51.280 --> 01:13:53.280]  and I smoked it in the morning
[01:13:54.000 --> 01:13:56.000]  and I was like I'm electric shit
[01:13:56.000 --> 01:13:58.000]  and then Tara
[01:13:58.000 --> 01:14:00.000]  brings me the plant
[01:14:00.000 --> 01:14:02.000]  and says here's a copy of it for you
[01:14:02.000 --> 01:14:04.000]  and so I get a
[01:14:04.000 --> 01:14:06.000]  message from Robbie
[01:14:06.000 --> 01:14:08.000]  saying hey if you want
[01:14:08.000 --> 01:14:10.000]  you can share this plant out
[01:14:10.000 --> 01:14:12.000]  and put it into the public
[01:14:12.000 --> 01:14:14.000]  and so what I did is I brought it to the Regen conferences
[01:14:14.000 --> 01:14:16.000]  and I took a whole
[01:14:16.000 --> 01:14:18.000]  bunch of plants
[01:14:18.000 --> 01:14:20.000]  and I just cut them into bare roots
[01:14:20.000 --> 01:14:22.000]  and then I'd wrap them so this way I could give out
[01:14:22.720 --> 01:14:24.720]  and I just loaded people up with it
[01:14:24.720 --> 01:14:26.720]  because it's a beautiful plant
[01:14:26.720 --> 01:14:28.720]  it finishes mid November here
[01:14:28.720 --> 01:14:30.720]  in Humboldt County
[01:14:30.720 --> 01:14:32.720]  and it couldn't be any nicer
[01:14:32.720 --> 01:14:34.720]  of a chassis for such a cerebral variety
[01:14:34.720 --> 01:14:36.720]  just really
[01:14:36.720 --> 01:14:38.720]  killer cannabis in every aspect
[01:14:38.720 --> 01:14:40.720]  and people need to have it
[01:14:40.720 --> 01:14:42.720]  in their life
[01:14:42.720 --> 01:14:44.720]  it's very distinct
[01:14:44.720 --> 01:14:46.720]  and it's such a nice break from all the
[01:14:46.720 --> 01:14:48.720]  you know cush by cush
[01:14:48.720 --> 01:14:50.720]  everything
[01:14:51.440 --> 01:14:53.440]  it's such a refreshing like
[01:14:53.440 --> 01:14:55.440]  oh this is different
[01:14:55.440 --> 01:14:57.440]  this isn't related to everything else I've been smoking
[01:14:57.440 --> 01:14:59.440]  no no it's beautiful
[01:14:59.440 --> 01:15:01.440]  and the thing was
[01:15:01.440 --> 01:15:03.440]  it's got a track
[01:15:03.440 --> 01:15:05.440]  meaning that he knows where it came from
[01:15:05.440 --> 01:15:07.440]  originally
[01:15:07.440 --> 01:15:09.440]  and that's something
[01:15:09.440 --> 01:15:11.440]  that I personally love
[01:15:11.440 --> 01:15:13.440]  I like to see things that were handled
[01:15:13.440 --> 01:15:15.440]  and passed through time
[01:15:15.440 --> 01:15:17.440]  I know the guy that gave it to him actually
[01:15:17.440 --> 01:15:19.440]  do you?
[01:15:20.160 --> 01:15:22.160]  Robbie actually just made
[01:15:22.160 --> 01:15:24.160]  some S1's with it
[01:15:24.160 --> 01:15:26.160]  oh did he?
[01:15:26.160 --> 01:15:28.160]  yeah he's never done that before
[01:15:28.160 --> 01:15:30.160]  he's taken a four-whip foray
[01:15:30.160 --> 01:15:32.160]  into a few beans there
[01:15:32.160 --> 01:15:34.160]  that'd be interesting
[01:15:34.160 --> 01:15:36.160]  I've never seen
[01:15:36.160 --> 01:15:38.160]  something so cerebral
[01:15:38.160 --> 01:15:40.160]  throw yield like that
[01:15:40.160 --> 01:15:42.160]  the flower density is incredible
[01:15:42.160 --> 01:15:44.160]  the body of it is beautiful
[01:15:44.160 --> 01:15:46.160]  and up on my hill
[01:15:46.160 --> 01:15:48.160]  it's really windy
[01:15:48.880 --> 01:15:50.880]  he absolutely took that heavy wind
[01:15:50.880 --> 01:15:52.880]  took the fall rains
[01:15:52.880 --> 01:15:54.880]  not a single problem
[01:15:54.880 --> 01:15:56.880]  not a single drop of rot
[01:15:56.880 --> 01:15:58.880]  just beautiful
[01:15:58.880 --> 01:16:00.880]  I jarred it all up and smoked Congo all winter
[01:16:00.880 --> 01:16:02.880]  and then I just grew another beauty
[01:16:02.880 --> 01:16:04.880]  in the yard this year
[01:16:04.880 --> 01:16:06.880]  so I can have another couple pounds of it
[01:16:06.880 --> 01:16:08.880]  for the head
[01:16:08.880 --> 01:16:10.880]  oh it's killer
[01:16:10.880 --> 01:16:12.880]  yeah no he did a beautiful job
[01:16:12.880 --> 01:16:14.880]  and then when we did the regen in Humboldt
[01:16:14.880 --> 01:16:16.880]  we passed him out
[01:16:17.600 --> 01:16:19.600]  and it screwed us up
[01:16:19.600 --> 01:16:21.600]  because it cut all the travel
[01:16:21.600 --> 01:16:23.600]  and cut all the other conventions
[01:16:23.600 --> 01:16:25.600]  so you're not really
[01:16:25.600 --> 01:16:27.600]  for a minute we're all kind of in pause
[01:16:27.600 --> 01:16:29.600]  but once we go back to normality again
[01:16:29.600 --> 01:16:31.600]  when I have another California convention
[01:16:31.600 --> 01:16:33.600]  I'll go and mom up another copy
[01:16:33.600 --> 01:16:35.600]  of it and cut it into slips
[01:16:35.600 --> 01:16:37.600]  and then wrap them
[01:16:37.600 --> 01:16:39.600]  and then I can bring it and give it away
[01:16:39.600 --> 01:16:41.600]  so that you have it in the population
[01:16:41.600 --> 01:16:43.600]  yeah when you get it out there
[01:16:43.600 --> 01:16:45.600]  that's how it lasts
[01:16:46.320 --> 01:16:48.320]  you don't share it you lose it
[01:16:48.320 --> 01:16:50.320]  that's why the sweet skunk is around
[01:16:50.320 --> 01:16:52.320]  because I fell so hard in love with it
[01:16:52.320 --> 01:16:54.320]  when I first found it
[01:16:54.320 --> 01:16:56.320]  I said I want everybody to grow this
[01:16:56.320 --> 01:16:58.320]  because I want to see this weed everywhere
[01:16:58.320 --> 01:17:00.320]  and I don't want to ever lose it
[01:17:00.320 --> 01:17:02.320]  and so to this day
[01:17:02.320 --> 01:17:04.320]  I can get a jar of sweet skunk
[01:17:04.320 --> 01:17:06.320]  or a few clones
[01:17:06.320 --> 01:17:08.320]  because I know so many people that still grow it
[01:17:08.320 --> 01:17:10.320]  because I told everybody I gave it to
[01:17:10.320 --> 01:17:12.320]  give it to more people
[01:17:12.320 --> 01:17:14.320]  make sure this gets out there
[01:17:15.040 --> 01:17:17.040]  but sometimes those
[01:17:17.040 --> 01:17:19.040]  sterols I had in the 90s
[01:17:19.040 --> 01:17:21.040]  that was like 95
[01:17:21.040 --> 01:17:23.040]  it was really early
[01:17:23.040 --> 01:17:25.040]  and I still was like I better not share these
[01:17:25.040 --> 01:17:27.040]  these are special I need to do something with those
[01:17:27.040 --> 01:17:29.040]  but then of course
[01:17:29.040 --> 01:17:31.040]  you lose them over time
[01:17:31.040 --> 01:17:33.040]  and you're very mad
[01:17:33.040 --> 01:17:35.040]  oh this stuff
[01:17:35.040 --> 01:17:37.040]  and the problem is
[01:17:37.040 --> 01:17:39.040]  too is that
[01:17:39.040 --> 01:17:41.040]  in the past when we were all collecting
[01:17:41.040 --> 01:17:43.040]  cannabis and you were moving stuff and sharing it
[01:17:43.760 --> 01:17:45.760]  there was a really good collection
[01:17:45.760 --> 01:17:47.760]  of beautiful things
[01:17:47.760 --> 01:17:49.760]  back then that was diverse
[01:17:49.760 --> 01:17:51.760]  and I don't think people understood
[01:17:51.760 --> 01:17:53.760]  that it was this magic moment
[01:17:53.760 --> 01:17:55.760]  where it was all going to start to become really pipelined
[01:17:55.760 --> 01:17:57.760]  and you didn't
[01:17:57.760 --> 01:17:59.760]  understand the value of preservation
[01:17:59.760 --> 01:18:01.760]  and so for me I was always holding genetics
[01:18:01.760 --> 01:18:03.760]  but because of what I did
[01:18:03.760 --> 01:18:05.760]  it always put me into
[01:18:05.760 --> 01:18:07.760]  legal issues
[01:18:07.760 --> 01:18:09.760]  and so every time you had a raid at a location
[01:18:09.760 --> 01:18:11.760]  if they hit the mother op
[01:18:12.480 --> 01:18:14.480]  we had armed robberies
[01:18:14.480 --> 01:18:16.480]  and it's gone and then other people
[01:18:16.480 --> 01:18:18.480]  that you'd given it to you're like hey I need to get a copy back
[01:18:18.480 --> 01:18:20.480]  and they're like oh I get rid of it
[01:18:20.480 --> 01:18:22.480]  thinking you'd have a copy
[01:18:22.480 --> 01:18:24.480]  and I'm just like oh god no
[01:18:24.480 --> 01:18:26.480]  and we had cannabis that was just so distinct
[01:18:26.480 --> 01:18:28.480]  and so
[01:18:28.480 --> 01:18:30.480]  I can think of some that slipped through the fingers
[01:18:30.480 --> 01:18:32.480]  and it just kills me now
[01:18:32.480 --> 01:18:34.480]  oh my god
[01:18:34.480 --> 01:18:36.480]  and I look at all this stuff and I go
[01:18:36.480 --> 01:18:38.480]  there's a lot of beautiful cannabis today
[01:18:38.480 --> 01:18:40.480]  there's more to choose from
[01:18:41.200 --> 01:18:43.200]  than everybody overall
[01:18:43.200 --> 01:18:45.200]  so it's a total thing to be celebrated
[01:18:45.200 --> 01:18:47.200]  and it's to be expected
[01:18:47.200 --> 01:18:49.200]  and even if you look at ancient
[01:18:49.200 --> 01:18:51.200]  official collections like the Vavilov Institute's
[01:18:51.200 --> 01:18:53.200]  collection
[01:18:53.200 --> 01:18:55.200]  most of that was outdated and dying off
[01:18:55.200 --> 01:18:57.200]  too you know
[01:18:57.200 --> 01:18:59.200]  if you couldn't go and refresh the stock
[01:18:59.200 --> 01:19:01.200]  they were losing it
[01:19:01.200 --> 01:19:03.200]  and
[01:19:03.200 --> 01:19:05.200]  biodiversity
[01:19:05.200 --> 01:19:07.200]  in all species is an issue
[01:19:07.200 --> 01:19:09.200]  you've lost a lot
[01:19:11.200 --> 01:19:13.200]  I was talking to
[01:19:13.200 --> 01:19:15.200]  Jordan who's
[01:19:15.200 --> 01:19:17.200]  a shapeshifter
[01:19:17.200 --> 01:19:19.200]  he bred Freak Show
[01:19:19.200 --> 01:19:21.200]  and Nat Pennington
[01:19:21.200 --> 01:19:23.200]  I actually got to
[01:19:23.200 --> 01:19:25.200]  finish editing the video but
[01:19:25.200 --> 01:19:27.200]  he was talking about stuff that
[01:19:27.200 --> 01:19:29.200]  like a long time so
[01:19:29.200 --> 01:19:31.200]  his like tragic story was
[01:19:31.200 --> 01:19:33.200]  he had a mason jar full of seeds
[01:19:33.200 --> 01:19:35.200]  in like the 70s that he like
[01:19:35.200 --> 01:19:37.200]  put in the woods and then went to get it
[01:19:37.200 --> 01:19:39.200]  and like the whole thing had rusted
[01:19:39.920 --> 01:19:41.920]  and he lost all those seeds
