[00:00.000 --> 00:02.000]  Let's see
[01:11:13.130 --> 01:11:14.130]  Makes a big difference, man.
[01:11:15.130 --> 01:11:16.130]  Well, all right.
[01:11:17.130 --> 01:11:20.130]  So for those of us just kind of like playing with the cards we're dealt with,
[01:11:21.130 --> 01:11:25.130]  I live in LA, and so I have LA municipal tap water.
[01:11:25.690 --> 01:11:32.690]  And usually I have all these, you know, everything from watering cans to,
[01:11:33.690 --> 01:11:36.690]  I basically fill everything with water and let it sit as long as possible
[01:11:37.690 --> 01:11:41.690]  to at least let some of that chlorine evaporate or whatever.
[01:11:42.690 --> 01:11:47.690]  But like, what else could someone who doesn't have access to, like a home grower, right?
[01:11:48.690 --> 01:11:51.690]  Like, what are some small things that are affordable that people could do
[01:11:52.250 --> 01:11:56.250]  to kind of clean up their water more so than just like letting it sit for 24 hours?
[01:11:57.250 --> 01:12:00.250]  Well, I mean, some water systems are good, you know?
[01:12:01.250 --> 01:12:03.250]  I mean, honestly, the first thing, and this sounds kind of corny,
[01:12:04.250 --> 01:12:07.250]  but like, get in touch with your water supplier.
[01:12:08.250 --> 01:12:10.250]  They all have water tests, so they can give you a water test and see what's in there.
[01:12:11.250 --> 01:12:14.250]  You know, and like, Colorado uses chloramine, but a lot of places don't use chloramine.
[01:12:15.250 --> 01:12:18.250]  So if it's just chlorine that you're dealing with, then, you know,
[01:12:18.810 --> 01:12:19.810]  you can let your water sit.
[01:12:20.810 --> 01:12:25.810]  You can also, like, the way that it works in the water systems is it attacks pathogens.
[01:12:26.810 --> 01:12:29.810]  So if you take, say, a handful of compost and throw it in your reservoir,
[01:12:30.810 --> 01:12:32.810]  you know, like literally tap water with chlorine in it,
[01:12:33.810 --> 01:12:37.810]  throw a handful of compost in there, that chlorine will free up from the water
[01:12:38.810 --> 01:12:41.810]  and try to attack, you know, and kill whatever is in the water.
[01:12:42.810 --> 01:12:43.810]  That's like how it works.
[01:12:44.810 --> 01:12:47.810]  Letting it sit, you know, bubbling it, you know, helps if you can aerate it.
[01:12:48.810 --> 01:12:52.810]  In any sort of way, it breaks it free, you know, but chloramine doesn't do that, you know.
[01:12:53.810 --> 01:12:55.810]  So it's like if you have chloramine in your water source, I mean,
[01:12:56.810 --> 01:12:59.810]  RO systems are one thing, but just a simple water filtration system,
[01:13:00.810 --> 01:13:05.810]  they're cheap and, you know, they're compact enough to where even a small home grower
[01:13:06.810 --> 01:13:11.810]  can get a small boy, you know, or a little bit of water filtration just to, you know,
[01:13:12.810 --> 01:13:16.810]  you get the chloramine filter that's in there, pay the extra 15 bucks or whatever it is
[01:13:17.370 --> 01:13:18.370]  to, you know, really clean your water up.
[01:13:19.370 --> 01:13:20.370]  It'll really make a difference.
[01:13:21.370 --> 01:13:25.370]  Now, I mean, if what you're going for is a hydro system or an aqua, you know,
[01:13:26.370 --> 01:13:28.370]  like aquaculture, deep water culture kind of system,
[01:13:29.370 --> 01:13:33.370]  that chlorine might be in your benefit, you know, it'll kill all those pathogens that could,
[01:13:34.370 --> 01:13:37.370]  you know, algae, yeah, yeah, the algae in the fusarium and all this, you know,
[01:13:38.370 --> 01:13:41.370]  root slimes and, you know, you don't get a lot of biofilms, you know,
[01:13:42.370 --> 01:13:44.370]  that are detrimental built up in water that has chlorine in it.
[01:13:44.930 --> 01:13:47.930]  So, you know, if you're a hydro grower or you're, you know,
[01:13:48.930 --> 01:13:51.930]  you're not concerned with the biology in your soil system or even, you know,
[01:13:52.930 --> 01:13:56.930]  in whatever system you're using, if biology is not, if, you know,
[01:13:57.930 --> 01:14:02.930]  the limiting factor, you know, then by all means, like, use what you got, you know,
[01:14:03.930 --> 01:14:05.930]  and if it's, you know, it could work out better, you know,
[01:14:06.930 --> 01:14:09.930]  you can keep a lot of pests and stuff away, you know, with, you know,
[01:14:10.490 --> 01:14:14.490]  good biology too, but, you know, bad biology with water with chlorine in it.
[01:14:15.490 --> 01:14:20.490]  So, you know, it kind of depends on your system, you know, like your plan of attack.
[01:14:25.620 --> 01:14:29.620]  I learned a simple trick from Chris Trump and he was saying for like,
[01:14:30.620 --> 01:14:32.620]  you know, if you have a five gallon bucket and that's filled with water
[01:14:33.620 --> 01:14:36.620]  and kind of left it out for a little bit, you can start with your hand
[01:14:37.620 --> 01:14:40.620]  and kind of get that going, that kind of like whirlpool effect.
[01:14:41.180 --> 01:14:42.180]  The vortex?
[01:14:42.180 --> 01:14:45.180]  The vortex and supposedly, I mean, I guess it kind of sucks,
[01:14:46.180 --> 01:14:48.180]  but the chlorine goes into your skin.
[01:14:49.180 --> 01:14:50.180]  I believe that.
[01:14:51.180 --> 01:14:54.180]  So if you're in a pinch, I guess you can kind of do it that way.
[01:14:55.180 --> 01:14:56.180]  It's a little bit.
[01:14:57.180 --> 01:14:58.180]  I mean, chlorinate yourself.
[01:14:59.180 --> 01:15:00.180]  It's in your skin anyways, though.
[01:15:01.180 --> 01:15:05.180]  Exactly. I mean, if I've been growing, I feel like all the amount of cheap,
[01:15:06.180 --> 01:15:09.180]  I don't want to say the brand name, but the cheap soil that bigger grows
[01:15:09.740 --> 01:15:13.740]  had for a long time that you were kind of taking the bag off and dumping it.
[01:15:14.740 --> 01:15:15.740]  Yeah. Yeah.
[01:15:16.740 --> 01:15:18.740]  I feel like chlorine is probably the least of.
[01:15:19.740 --> 01:15:20.740]  Agreed.
[01:15:21.740 --> 01:15:24.740]  So, yeah, in a pinch, man, five gallon bucket, just kind of spin that
[01:15:25.740 --> 01:15:26.740]  to a little vortex.
[01:15:27.740 --> 01:15:30.740]  I also back in the day, I remember we built like a little vortex
[01:15:31.740 --> 01:15:32.740]  from somebody on YouTube.
[01:15:33.740 --> 01:15:34.740]  I remember was teaching us.
[01:15:35.740 --> 01:15:37.740]  It's just like PVC pipe with a five gallon Eldorado bucket.
[01:15:38.300 --> 01:15:39.300]  Yeah.
[01:15:39.300 --> 01:15:40.300]  You can make a little video like that.
[01:15:41.300 --> 01:15:42.300]  Supposedly that's supposed to get rid of chlorine.
[01:15:43.300 --> 01:15:47.300]  And also there's a lot of biodynamic kind of principles that,
[01:15:48.300 --> 01:15:51.300]  you know, when you create that, you do vortex and you create that energy
[01:15:52.300 --> 01:15:54.300]  with the water, you know, there's a lot of cool studies coming out,
[01:15:55.300 --> 01:16:00.300]  you know, about water and like, you know, kind of the structure of water
[01:16:01.300 --> 01:16:03.300]  when you do this or that to it, you know, and supposedly, I mean,
[01:16:04.300 --> 01:16:07.300]  a lot of those old biodynamic heads, you know, like.
[01:16:08.300 --> 01:16:11.300]  Rudolf Steiner, you know, like in the 20s was talking about making
[01:16:12.300 --> 01:16:13.300]  the vortex like stirring it one way and stirring it the other,
[01:16:14.300 --> 01:16:19.300]  you know, just very basic, you know, aeration kind of agitation,
[01:16:20.300 --> 01:16:24.300]  you know, methods with your water that, I mean, change the water itself
[01:16:25.300 --> 01:16:27.300]  and really activate it to the, you know.
[01:16:28.300 --> 01:16:29.300]  Structured water.
[01:16:30.300 --> 01:16:31.300]  Yeah.
[01:16:31.300 --> 01:16:32.300]  Yeah.
[01:16:32.300 --> 01:16:33.300]  You know, well, that's what I was going to ask.
[01:16:34.300 --> 01:16:37.300]  Nick, have you ever washed in either structured or like.
[01:16:38.300 --> 01:16:42.300]  I haven't had enough of the variables to control it to really do
[01:16:43.300 --> 01:16:44.300]  the proper experiment.
[01:16:45.300 --> 01:16:46.300]  Yeah.
[01:16:47.300 --> 01:16:48.300]  It's just, you know, it always takes a lot.
[01:16:49.300 --> 01:16:51.300]  You know, you got to really designate the time with the same material
[01:16:52.300 --> 01:16:57.300]  and all the other factors the same, but then have also pressurized,
[01:16:58.300 --> 01:17:00.300]  you know, yeah.
[01:17:01.300 --> 01:17:03.300]  Alkaline water or acidic water.
[01:17:04.300 --> 01:17:05.300]  Yeah.
[01:17:05.300 --> 01:17:06.300]  I don't know.
[01:17:06.300 --> 01:17:07.300]  People have talked about it for sure.
[01:17:08.300 --> 01:17:09.300]  Variables.
[01:17:09.300 --> 01:17:11.300]  I haven't gone that route yet myself.
[01:17:12.300 --> 01:17:13.300]  Yeah.
[01:17:14.300 --> 01:17:15.300]  You meant that part.
[01:17:18.300 --> 01:17:19.300]  Yeah.
[01:17:19.300 --> 01:17:22.300]  So is the chat want to talk about something or should we talk about
[01:17:23.300 --> 01:17:24.300]  something amongst ourselves?
[01:17:25.300 --> 01:17:29.300]  Well, I think you need to take another hit while we look at the chat questions.
[01:17:30.300 --> 01:17:31.300]  Yeah.
[01:17:32.300 --> 01:17:36.300]  So a long time ago, I just want to get this one out there.
[01:17:36.860 --> 01:17:40.860]  Brian asked, and I assume this is like a lot of Colorado indoor growers.
[01:17:41.860 --> 01:17:42.860]  Do they supplement with CO2?
[01:17:43.860 --> 01:17:45.860]  Are you seeing that as a trend and like indoor?
[01:17:46.860 --> 01:17:47.860]  Yeah.
[01:17:47.860 --> 01:17:48.860]  I mean, I see greenhouse growers.
[01:17:49.860 --> 01:17:51.860]  You know, I see a lot of people that supplement CO2.
[01:17:52.860 --> 01:17:54.860]  I, you know, I will not lie.
[01:17:55.860 --> 01:17:58.860]  You know, when you when you're able to dial in your CO2, you can make your
[01:17:59.860 --> 01:18:03.860]  you can really dial in your your plants uptake and nutrition.
[01:18:04.420 --> 01:18:10.420]  And, you know, you can utilize a lot of the, you know, the life a lot better
[01:18:11.420 --> 01:18:15.420]  when your plant is, you know, when CO2 is not the limiting factor.
[01:18:16.420 --> 01:18:19.420]  You know, the plant is literally taking CO2 and water and making
[01:18:20.420 --> 01:18:21.420]  carbohydrates.
[01:18:21.420 --> 01:18:26.420]  So if you have good water and plenty excess of CO2 in your grow room, I
[01:18:27.420 --> 01:18:28.420]  mean, you can definitely boost yields.
[01:18:29.420 --> 01:18:33.420]  You can, you know, have your nutrition systems, you know, because
[01:18:34.420 --> 01:18:35.420]  it's going to be way more efficient for you.
[01:18:36.420 --> 01:18:41.420]  And yeah, I mean, most people that I know that are growing indoors are
[01:18:42.420 --> 01:18:44.420]  are definitely supplementing CO2.
[01:18:45.420 --> 01:18:49.420]  You know, whether that be from, you know, just the can, the bottle
[01:18:50.420 --> 01:18:53.420]  source or, you know, a lot of people use like those mushroom bags.
[01:18:54.420 --> 01:18:55.420]  I love those mushroom bags.
[01:18:56.420 --> 01:18:58.420]  They're easy for me because I don't want to deal with tanks and all that.
[01:18:59.420 --> 01:19:02.420]  It's a gift that keeps on giving because you can just compost it in your
[01:19:02.980 --> 01:19:04.980]  soil when they're done, you know, but I don't know that part.
[01:19:05.980 --> 01:19:06.980]  Yeah, I get kind of gnarly.
[01:19:07.980 --> 01:19:08.980]  They like turn crazy black and stuff.
[01:19:09.980 --> 01:19:10.980]  Yeah, they get spit.
[01:19:11.980 --> 01:19:14.980]  But yeah, I mean, CO2 is important for sure.
[01:19:15.980 --> 01:19:17.980]  And, you know, for most growers, it's probably something you should
[01:19:18.980 --> 01:19:19.980]  think about.
[01:19:20.980 --> 01:19:21.980]  You know, I don't know.
[01:19:22.980 --> 01:19:24.980]  There's a big debate about people say atmospheric is plenty, you know,
[01:19:25.980 --> 01:19:29.980]  for, you know, as long as you exchange fresh air and don't let your
[01:19:30.540 --> 01:19:32.540]  environment get too oxygenated because all your plants, then they should
[01:19:33.540 --> 01:19:34.540]  be not limited by CO2.
[01:19:35.540 --> 01:19:40.540]  But I've I've seen in every instance, people that have a thousand parts
[01:19:41.540 --> 01:19:44.540]  per million of CO2 will see their plants beast.
[01:19:45.540 --> 01:19:47.540]  I feel like it's the cherry on top.
[01:19:48.540 --> 01:19:50.540]  You have to have everything else dialed in.
[01:19:51.540 --> 01:19:52.540]  Yeah.
[01:19:52.540 --> 01:19:54.540]  And it's hard for someone, you know, like if you have a small homegrown,
[01:19:55.540 --> 01:19:58.540]  you don't have a bunch of air conditioning or say you are in a
[01:19:59.100 --> 01:20:02.100]  position where you have to filter your air constantly like like what I'm in.
